code,name,pe,pb,eps,2018-06,2018-03,2017-12,2017-09,net2018-06,net_radio2018-06,income2018-06,income_radio2018-06,net2018-03,net_radio2018-03,income2018-03,income_radio2018-03,net2017-12,net_radio2017-12,income2017-12,income_radio2017-12,net2017-09,net_radio2017-09,income2017-09,income_radio2017-09
NVUS,"Novus Therapeutics, Inc.",0.0,2.124176,-1.091358,-3189000.0_52.13%_0_0,-2806000.0_-104.22%_0_0,-2110000.0_-39.27%_0_0,-2970000.0_-45.95%_0_0,-3189000.0,52.13%,0,0,-2806000.0,-104.22%,0,0,-2110000.0,-39.27%,0,0,-2970000.0,-45.95%,0,0
CARB,Carbonite,1102.43149,20.320064000000002,0.037508,-5687000.0_10.86%_77734000.0_31.68%,11944000.0_57.26%_64026000.0_12.13%,-1614000.0_-140.90%_61692000.0_15.34%,"-3603000.0_-3,467.29%_61637000.0_18.65%",-5687000.0,10.86%,77734000.0,31.68%,11944000.0,57.26%,64026000.0,12.13%,-1614000.0,-140.90%,61692000.0,15.34%,-3603000.0,"-3,467.29%",61637000.0,18.65%
HBMD,Howard Bancorp,0.0,1.120566,-0.18642899999999998,-2277000.0_-211.73%_0_0,-5675000.0_-462.39%_0_0,1883000.0_97.38%_0_0,1713000.0_-2.00%_0_0,-2277000.0,-211.73%,0,0,-5675000.0,-462.39%,0,0,1883000.0,97.38%,0,0,1713000.0,-2.00%,0,0
ATRC,AtriCure公司,0.0,7.5601009999999995,-0.617084,-338000.0_95.09%_51802000.0_14.53%,-10134000.0_0.48%_46994000.0_13.86%,-2580000.0_70.09%_46062000.0_11.92%,-7246000.0_-6.83%_42150000.0_9.94%,-338000.0,95.09%,51802000.0,14.53%,-10134000.0,0.48%,46994000.0,13.86%,-2580000.0,70.09%,46062000.0,11.92%,-7246000.0,-6.83%,42150000.0,9.94%
ARWR,Arrowhead Research Corporation,0.0,12.638086,-0.67276,-15606000.0_-182.73%_727400.0_-92.21%,-14884300.0_-146.32%_650100.0_-92.77%,-13198900.000000002_-9.21%_3509800.0_-19.60%,"-10731900.0_51.71%_8713800.0_27,784.12%",-15606000.0,-182.73%,727400.0,-92.21%,-14884300.0,-146.32%,650100.0,-92.77%,-13198900.000000002,-9.21%,3509800.0,-19.60%,-10731900.0,51.71%,8713800.0,"27,784.12%"
CTSO,Cytosorbents Corporation,0.0,17.873988,-0.490414,-5821200.0_-235.59%_5755400.0_61.39%,-2982000.0_-95.56%_4924700.0_58.17%,-3147000.0_35.85%_4646700.0_50.69%,-2054300.0_6.12%_3824300.0_58.57%,-5821200.0,-235.59%,5755400.0,61.39%,-2982000.0,-95.56%,4924700.0,58.17%,-3147000.0,35.85%,4646700.0,50.69%,-2054300.0,6.12%,3824300.0,58.57%
VIRC,Virco Manufacturing Corporation,0.0,1.361674,-0.297561,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FTNT,飞塔信息,152.145721,17.42748,0.528375,49300000.0_114.35%_441000000.0_21.40%,41600000.0_288.79%_399000000.0_17.15%,-28961000.0_-215.08%_417000000.0_14.84%,26610000.0_322.99%_374000000.0_18.18%,49300000.0,114.35%,441000000.0,21.40%,41600000.0,288.79%,399000000.0,17.15%,-28961000.0,-215.08%,417000000.0,14.84%,26610000.0,322.99%,374000000.0,18.18%
HIMX,奇景光电,41.655801000000004,2.506885,0.1534,1396000.0_242.01%_181000000.0_19.53%,-3316000.0_-509.89%_163000000.0_4.92%,22862000.0_553.01%_181000000.0_-10.99%,3130000.0_-76.63%_197000000.0_-9.60%,1396000.0,242.01%,181000000.0,19.53%,-3316000.0,-509.89%,163000000.0,4.92%,22862000.0,553.01%,181000000.0,-10.99%,3130000.0,-76.63%,197000000.0,-9.60%
SKYW,西空航空,7.004256,1.791309,9.137300999999999,75859000.0_50.28%_806000000.0_1.77%,54362000.0_56.28%_783000000.0_4.85%,290000000.0_207.28%_797000000.0_5.16%,53716000.0_29.99%_832000000.0_4.02%,75859000.0,50.28%,806000000.0,1.77%,54362000.0,56.28%,783000000.0,4.85%,290000000.0,207.28%,797000000.0,5.16%,53716000.0,29.99%,832000000.0,4.02%
KIN,"Kindred Biosciences, Inc.",0.0,4.335771,-1.389285,-11241000.0_-66.11%_0_0,-9971000.0_-53.59%_0_0,-9730000.0_-67.50%_0_0,-7890000.0_-38.84%_0_0,-11241000.0,-66.11%,0,0,-9971000.0,-53.59%,0,0,-9730000.0,-67.50%,0,0,-7890000.0,-38.84%,0,0
HCKT,哈克特服务,17.561942000000002,4.919512,1.1564780000000001,11521000.0_142.55%_69614000.0_2.79%,7367000.0_-6.44%_67475000.0_3.70%,9441000.0_51.66%_64510000.0_2.48%,5289000.0_-3.63%_65947000.0_-1.29%,11521000.0,142.55%,69614000.0,2.79%,7367000.0,-6.44%,67475000.0,3.70%,9441000.0,51.66%,64510000.0,2.48%,5289000.0,-3.63%,65947000.0,-1.29%
DORM,Dorman Products,23.610044,3.962013,3.423543,34339000.0_20.75%_238000000.0_3.88%,30647000.0_5.00%_227000000.0_2.54%,21967000.0_-23.46%_227999999.99999997_-0.60%,27008000.0_1.17%_225000000.0_5.56%,34339000.0,20.75%,238000000.0,3.88%,30647000.0,5.00%,227000000.0,2.54%,21967000.0,-23.46%,227999999.99999997,-0.60%,27008000.0,1.17%,225000000.0,5.56%
ECYT,Endocyte,0.0,7.75413,-1.029541,-11564600.0_1.53%_14500.0_15.72%,-8602600.0_25.12%_15900.0_26.84%,-8564000.0_22.60%_12500.0_0.00%,-23266800.0_-167.21%_32500.0_0.00%,-11564600.0,1.53%,14500.0,15.72%,-8602600.0,25.12%,15900.0,26.84%,-8564000.0,22.60%,12500.0,0.00%,-23266800.0,-167.21%,32500.0,0.00%
ERI,Eldorado Resorts Inc,19.814795999999998,3.8601989999999997,2.51075,36796000.0_179.66%_442000000.0_21.51%,"20855000.0_2,106.88%_426000000.0_119.92%","89694000.0_9,243.12%_455999999.99999994_133.68%",29554000.0_205.25%_430000000.0_87.31%,36796000.0,179.66%,442000000.0,21.51%,20855000.0,"2,106.88%",426000000.0,119.92%,89694000.0,"9,243.12%",455999999.99999994,133.68%,29554000.0,205.25%,430000000.0,87.31%
TGA,Transglobe Energy Corp,0.0,1.2228809999999999,-0.170317,7361000.0_113.00%_68454000.0_69.28%,-10120000.0_21.41%_24715000.0_10.04%,-2382000.0_92.99%_40725000.0_680.62%,-6855000.0_72.98%_44839000.0_116.57%,7361000.0,113.00%,68454000.0,69.28%,-10120000.0,21.41%,24715000.0,10.04%,-2382000.0,92.99%,40725000.0,680.62%,-6855000.0,72.98%,44839000.0,116.57%
TAYD,Taylor Devices,36.765246999999995,1.296417,0.339995,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RMR,The RMR Group Inc,15.669694,6.390642,5.746762,19449000.0_10.47%_48373000.0_5.93%,19642000.0_10.67%_47624000.0_7.60%,159000000.0_164.66%_206000000.0_114.09%,13116000.0_-30.35%_45327000.0_1.63%,19449000.0,10.47%,48373000.0,5.93%,19642000.0,10.67%,47624000.0,7.60%,159000000.0,164.66%,206000000.0,114.09%,13116000.0,-30.35%,45327000.0,1.63%
TSRI,TSR软件,32.940953,1.9474310000000001,0.247804,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EML,Eastern Company ,22.390769,2.038737,1.3443040000000002,3258500.0_122.21%_60860900.0_4.85%,3100200.0_104.34%_59445000.0_64.93%,-168800.0_-106.37%_54143600.0_58.57%,2230500.0_-7.07%_56007900.0_67.30%,3258500.0,122.21%,60860900.0,4.85%,3100200.0,104.34%,59445000.0,64.93%,-168800.0,-106.37%,54143600.0,58.57%,2230500.0,-7.07%,56007900.0,67.30%
BSTC,BioSpecifics生物,27.307851,4.3448720000000005,1.8961580000000002,4300700.0_63.89%_7096400.0_8.58%,3978600.0_18.95%_7089400.000000001_-7.82%,2644600.0_-9.33%_6701500.0_1.22%,2714800.0_-11.09%_6516100.0_-5.32%,4300700.0,63.89%,7096400.0,8.58%,3978600.0,18.95%,7089400.000000001,-7.82%,2644600.0,-9.33%,6701500.0,1.22%,2714800.0,-11.09%,6516100.0,-5.32%
BELFB,Bel Fuse Inc,0.0,1.6997740000000001,-5.17,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RILY,"B. Riley Financial, Inc.",50.084614,2.251458,0.453233,17801000.0_429.32%_0_0,4842000.0_-65.17%_0_0,-5451000.0_-123.69%_0_0,122000.0_-98.54%_0_0,17801000.0,429.32%,0,0,4842000.0,-65.17%,0,0,-5451000.0,-123.69%,0,0,122000.0,-98.54%,0,0
ACST,Acasti Pharma,0.0,0.6467390000000001,-0.7,0_0_0_0,0_0_0_0,0_0_0_0,-4507000.0_-93.52%_0_0,0,0,0,0,0,0,0,0,0,0,0,0,-4507000.0,-93.52%,0,0
RPD,"Rapid7, Inc.",0.0,24.484176,-1.2065700000000001,-14333000.0_-23.17%_58441000.0_23.18%,-16361000.0_-55.15%_54515000.0_20.49%,-13004000.0_-33.05%_57731000.0_28.19%,-10284000.0_-0.88%_50521000.0_25.24%,-14333000.0,-23.17%,58441000.0,23.18%,-16361000.0,-55.15%,54515000.0,20.49%,-13004000.0,-33.05%,57731000.0,28.19%,-10284000.0,-0.88%,50521000.0,25.24%
NVDA,英伟达,38.23053,18.818620000000003,7.120487,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSG,The Stars Group Inc.,40.362319,2.505796,0.69,0_0_0_0,0_0_0_0,0_0_0_0,75874000.0_505.88%_329000000.0_21.71%,0,0,0,0,0,0,0,0,0,0,0,0,75874000.0,505.88%,329000000.0,21.71%
PRQR,ProQR Therapeutics N.V.,0.0,9.130028999999999,-1.7268740000000002,-7400000.0_34.88%_0_0,-10717000.0_-2.26%_0_0,-11311000.0_-28.26%_0_0,-10521000.0_-3.89%_0_0,-7400000.0,34.88%,0,0,-10717000.0,-2.26%,0,0,-11311000.0,-28.26%,0,0,-10521000.0,-3.89%,0,0
MU,美光科技,4.729503,2.052511,10.719942999999999,0_0_0_0,3311000000.0_270.36%_7351000000.000001_58.15%,0_0_0_0,0_0_0_0,0,0,0,0,3311000000.0,270.36%,7351000000.000001,58.15%,0,0,0,0,0,0,0,0
AWSM,Cool Holdings Inc,0.0,8.723279,-6.865460000000001,-2944000.0_-335.50%_9385000.0_214.72%,-2766000.0_-323.58%_5324000.0_89.47%,-993000.0_-238.62%_5860000.0_-19.01%,-1761000.0_-500.51%_6008000.0_-16.96%,-2944000.0,-335.50%,9385000.0,214.72%,-2766000.0,-323.58%,5324000.0,89.47%,-993000.0,-238.62%,5860000.0,-19.01%,-1761000.0,-500.51%,6008000.0,-16.96%
PCOM,Points International,0.0,5.169181,-0.1,0_0_0_0,0_0_0_0,0_0_0_0,605000.0_80.60%_87200000.0_9.45%,0,0,0,0,0,0,0,0,0,0,0,0,605000.0,80.60%,87200000.0,9.45%
NSTG,NanoString Technologies Inc.,0.0,52.150816999999996,-2.3149490000000004,-20601000.0_-352.27%_24999000.0_-27.73%,-19202000.0_-1.86%_23085000.0_27.80%,-8751000.0_24.51%_35233000.0_39.64%,-11404000.0_-13.05%_27016000.0_12.88%,-20601000.0,-352.27%,24999000.0,-27.73%,-19202000.0,-1.86%,23085000.0,27.80%,-8751000.0,24.51%,35233000.0,39.64%,-11404000.0,-13.05%,27016000.0,12.88%
YTEN,Yield10 Bioscience,0.0,1.59873,-2.072582,-2390000.0_12.36%_285000.0_-2.73%,-2290000.0_-9.46%_60000.0_-81.48%,-2552000.0_-32.09%_104000.0_-69.50%,-2025000.0_-150.32%_223000.0_-52.85%,-2390000.0,12.36%,285000.0,-2.73%,-2290000.0,-9.46%,60000.0,-81.48%,-2552000.0,-32.09%,104000.0,-69.50%,-2025000.0,-150.32%,223000.0,-52.85%
KONA,科纳烧烤,0.0,4.306927,-1.881146,-1000000.0_76.89%_42346000.0_-9.86%,-2460000.0_27.07%_42017000.0_-7.09%,-12409000.0_25.17%_42489000.0_-2.53%,-3323000.0_-30.06%_44390000.0_2.38%,-1000000.0,76.89%,42346000.0,-9.86%,-2460000.0,27.07%,42017000.0,-7.09%,-12409000.0,25.17%,42489000.0,-2.53%,-3323000.0,-30.06%,44390000.0,2.38%
INFI,Infinity Pharmaceuticals,0.0,2.54577,-0.590142,-6963000.0_58.93%_0_0,-9451000.0_9.78%_0_0,-7296000.0_68.18%_0_0,-7104000.0_63.57%_6000000.0_0,-6963000.0,58.93%,0,0,-9451000.0,9.78%,0,0,-7296000.0,68.18%,0,0,-7104000.0,63.57%,6000000.0,0
GSM,Ferroglobe PLC,13.162859,1.4044159999999999,0.622965,"66030000.0_6,503.00%_583000000.0_36.91%",35614000.0_538.87%_561000000.0_41.58%,6280000.0_102.55%_468000000.0_20.09%,-4987000.0_83.95%_451999999.99999994_23.83%,66030000.0,"6,503.00%",583000000.0,36.91%,35614000.0,538.87%,561000000.0,41.58%,6280000.0,102.55%,468000000.0,20.09%,-4987000.0,83.95%,451999999.99999994,23.83%
IFMK,iFresh Inc,0.0,12.741634,-0.165615,-1876699.9999999998_-495.94%_31088100.0_-4.43%,-266900.0_-275.56%_34956900.0_3.48%,-281100.0_-146.18%_35863200.0_2.71%,25200.0_-90.23%_33339899.999999996_4.56%,-1876699.9999999998,-495.94%,31088100.0,-4.43%,-266900.0,-275.56%,34956900.0,3.48%,-281100.0,-146.18%,35863200.0,2.71%,25200.0,-90.23%,33339899.999999996,4.56%
CETXP,Cemtrex Inc,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEAL,Zealand Pharma A/S,0.0,8.620313000000001,-2.009216,-127000000.0_-34.72%_15136000.0_51.71%,-92363000.0_-250.83%_9722000.0_-87.47%,-110000000.00000001_-308.57%_11275000.0_-93.75%,-42264000.0_-36.76%_40079000.0_1.25%,-127000000.0,-34.72%,15136000.0,51.71%,-92363000.0,-250.83%,9722000.0,-87.47%,-110000000.00000001,-308.57%,11275000.0,-93.75%,-42264000.0,-36.76%,40079000.0,1.25%
INTU,财捷,45.794625,23.61288,4.730468,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ULTI,The Ultimate Software Group,247.786027,15.925576999999999,1.211731,13680000.0_202.05%_271000000.0_20.68%,20994000.0_189.97%_277000000.0_21.12%,-2978000.0_-125.33%_250999999.99999997_19.42%,4697000.0_-1.39%_236000000.0_19.86%,13680000.0,202.05%,271000000.0,20.68%,20994000.0,189.97%,277000000.0,21.12%,-2978000.0,-125.33%,250999999.99999997,19.42%,4697000.0,-1.39%,236000000.0,19.86%
QUIK,快辑半导体,0.0,4.386566999999999,-0.175707,0_0_0_0,0_0_0_0,-3409000.0_11.64%_2981000.0_1.22%,0_0_0_0,0,0,0,0,0,0,0,0,-3409000.0,11.64%,2981000.0,1.22%,0,0,0,0
FSCT,Forescout Technologies Inc,0.0,12.930531,-2.840753,-20406000.0_-14.70%_67594000.0_35.24%,-28196000.0_-4.16%_59697000.0_41.54%,-36345000.0_-116.16%_65956000.0_33.43%,-7165000.0_60.87%_64356000.0_32.04%,-20406000.0,-14.70%,67594000.0,35.24%,-28196000.0,-4.16%,59697000.0,41.54%,-36345000.0,-116.16%,65956000.0,33.43%,-7165000.0,60.87%,64356000.0,32.04%
QTNA,Quantenna Communications Inc,17.315667,3.216618,0.963867,0_0_0_0,0_0_0_0,"32325000.0_100,915.63%_41275000.0_10.09%",0_0_0_0,0,0,0,0,0,0,0,0,32325000.0,"100,915.63%",41275000.0,10.09%,0,0,0,0
STML,Stemline Therapeutics Inc.,0.0,5.57675,-2.962334,-18928700.0_-22.46%_500000.0_67.00%,-18416800.0_-26.44%_0_0,-21749300.0_-117.30%_0_0,-16056099.999999998_-61.80%_299400.0_-0.00%,-18928700.0,-22.46%,500000.0,67.00%,-18416800.0,-26.44%,0,0,-21749300.0,-117.30%,0,0,-16056099.999999998,-61.80%,299400.0,-0.00%
RRD,当纳利,0.0,-1.403697,-1.187325,-12600000.0_-116.43%_1680000000.0_3.67%,-9300000.0_81.33%_1707999999.9999998_2.95%,-52300000.0_89.82%_1926000000.0000002_3.60%,-7800000.0_-14.71%_1735000000.0000002_0.54%,-12600000.0,-116.43%,1680000000.0,3.67%,-9300000.0,81.33%,1707999999.9999998,2.95%,-52300000.0,89.82%,1926000000.0000002,3.60%,-7800000.0,-14.71%,1735000000.0000002,0.54%
VVPR,VivoPower,0.0,0.5697180000000001,-2.0563740000000004,0_0_0_0,-10980500.0_-512.80%_0_0,-10980500.0_-512.80%_0_0,"-2959000.0_-2,367.43%_0_0",0,0,0,0,-10980500.0,-512.80%,0,0,-10980500.0,-512.80%,0,0,-2959000.0,"-2,367.43%",0,0
SGOC,上为集团,0.0,0.311236,-0.9887459999999999,0_0_0_0,0_0_0_0,-4390000.0_-274.57%_17000.0_-91.30%,-4390000.0_-274.57%_17000.0_-91.30%,0,0,0,0,0,0,0,0,-4390000.0,-274.57%,17000.0,-91.30%,-4390000.0,-274.57%,17000.0,-91.30%
GLPG,Galapagos NV,0.0,4.692097,-3.079314,-21773000.0_38.91%_49676000.0_84.44%,-37283000.0_-174.04%_37907000.0_11.52%,-29849000.0_-164.97%_39217000.0_-50.68%,-36606000.0_-51.50%_26945000.0_140.28%,-21773000.0,38.91%,49676000.0,84.44%,-37283000.0,-174.04%,37907000.0,11.52%,-29849000.0,-164.97%,39217000.0,-50.68%,-36606000.0,-51.50%,26945000.0,140.28%
SPI,阳光动力,0.0,-1.2626950000000001,-23.059271,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INGN,Inogen Inc,161.52253000000002,19.681347,1.523255,14610000.0_75.22%_97238000.0_51.65%,10758000.0_81.36%_79051000.0_50.57%,-606000.0_-111.52%_63787000.0_25.44%,7338000.0_39.88%_69030000.0_26.84%,14610000.0,75.22%,97238000.0,51.65%,10758000.0,81.36%,79051000.0,50.57%,-606000.0,-111.52%,63787000.0,25.44%,7338000.0,39.88%,69030000.0,26.84%
MYOK,Myokardia Inc,0.0,6.296648,-1.418416,-18413000.0_-19.09%_6639000.0_121.23%,-17820000.0_-20.72%_5331000.0_121.20%,-7395000.0_-151.86%_5625000.0_-80.30%,-14173000.0_-53.54%_5625000.0_58.45%,-18413000.0,-19.09%,6639000.0,121.23%,-17820000.0,-20.72%,5331000.0,121.20%,-7395000.0,-151.86%,5625000.0,-80.30%,-14173000.0,-53.54%,5625000.0,58.45%
NXST,Nexstar Broadcasting Group,6.700952,2.293887,12.274376,86606000.0_78.73%_660000000.0_5.46%,47341000.0_857.54%_615000000.0_13.88%,"380000000.0_1,761.04%_654000000.0_110.94%",42072000.0_64.24%_612000000.0_121.97%,86606000.0,78.73%,660000000.0,5.46%,47341000.0,857.54%,615000000.0,13.88%,380000000.0,"1,761.04%",654000000.0,110.94%,42072000.0,64.24%,612000000.0,121.97%
ARTW,自流资源,0.0,0.778307,-0.5007050000000001,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PINC,Premier Inc.,12.378434,-1.6480990000000002,3.5666870000000004,101000000.0_36.25%_434000000.0_7.66%,76549000.0_7.30%_425000000.0_11.99%,19769000.0_-91.97%_411000000.00000006_14.76%,60616000.0_4.34%_391000000.0_24.67%,101000000.0,36.25%,434000000.0,7.66%,76549000.0,7.30%,425000000.0,11.99%,19769000.0,-91.97%,411000000.00000006,14.76%,60616000.0,4.34%,391000000.0,24.67%
ASYS,Amtech Systems,3.532628,0.749253,1.505961,4971000.0_74.97%_41200000.0_-13.74%,2835000.0_263.02%_32783000.0_-0.49%,"6452000.0_2,043.37%_73611000.0_152.65%","7319000.0_1,086.39%_54677000.0_28.93%",4971000.0,74.97%,41200000.0,-13.74%,2835000.0,263.02%,32783000.0,-0.49%,6452000.0,"2,043.37%",73611000.0,152.65%,7319000.0,"1,086.39%",54677000.0,28.93%
KFFB,肯塔基第一银行,43.777566,1.000683,0.18274200000000002,0_0_0_0,162000.0_-3.57%_0_0,869000.0_242.13%_0_0,280000.0_-5.72%_0_0,0,0,0,0,162000.0,-3.57%,0,0,869000.0,242.13%,0,0,280000.0,-5.72%,0,0
CVV,CVD设备,16.871209,0.945428,0.34793,-1330500.0_-205.86%_6435300.0_-40.58%,558400.0_-45.47%_9153800.0_-5.15%,1584600.0_105.89%_9816600.0_34.02%,"1395900.0_1,734.44%_10831700.0_121.80%",-1330500.0,-205.86%,6435300.0,-40.58%,558400.0,-45.47%,9153800.0,-5.15%,1584600.0,105.89%,9816600.0,34.02%,1395900.0,"1,734.44%",10831700.0,121.80%
NEOS,"Neos Therapeutics, Inc.",0.0,-8.51875,-1.996564,-15207000.0_18.44%_11363000.0_119.41%,-14436000.0_16.17%_10729000.0_90.53%,-14224000.0_22.58%_7787000.0_122.30%,-16258000.0_37.00%_6695000.0_322.93%,-15207000.0,18.44%,11363000.0,119.41%,-14436000.0,16.17%,10729000.0,90.53%,-14224000.0,22.58%,7787000.0,122.30%,-16258000.0,37.00%,6695000.0,322.93%
FTFT,未来金融科技,0.0,6.210806,-20.558744,-3893000.0_-33.94%_788100.0_-71.62%,-3282900.0_-32.20%_562100.0_-81.00%,-105000000.0_0_283700.0_0,"-6303200.000000001_-11,182.28%_4443700.0_-58.04%",-3893000.0,-33.94%,788100.0,-71.62%,-3282900.0,-32.20%,562100.0,-81.00%,-105000000.0,0,283700.0,0,-6303200.000000001,"-11,182.28%",4443700.0,-58.04%
CSTE,CaesarStone Sdot-Yam Ltd,51.451252000000004,1.377988,0.367338,11041000.0_-25.76%_149000000.0_0.22%,1456000.0_-87.08%_136000000.0_-0.26%,-6021000.0_-139.31%_148000000.0_9.75%,7442000.0_-67.32%_155000000.0_7.19%,11041000.0,-25.76%,149000000.0,0.22%,1456000.0,-87.08%,136000000.0,-0.26%,-6021000.0,-139.31%,148000000.0,9.75%,7442000.0,-67.32%,155000000.0,7.19%
LULU,lululemon athletica,62.260259999999995,11.232655000000001,2.228709,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SINO,中环球船务,6.24302,0.5583739999999999,0.174595,0_0_0_0,235900.0_-81.84%_5200200.0_89.26%,391200.0_-50.65%_5220500.0_145.26%,716600.0_12.36%_5380000.0_176.69%,0,0,0,0,235900.0,-81.84%,5200200.0,89.26%,391200.0,-50.65%,5220500.0,145.26%,716600.0,12.36%,5380000.0,176.69%
KIRK,Kirklands家具,33.010696,1.378995,0.365942,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMAB,北方中心机场,19.140732999999997,6.150068,2.58872,709000000.0_39.24%_1987000000.0_14.27%,610000000.0_44.05%_1932000000.0_19.36%,625000000.0_9.54%_1888000000.0_18.94%,580000000.0_19.07%_1884000000.0_25.90%,709000000.0,39.24%,1987000000.0,14.27%,610000000.0,44.05%,1932000000.0,19.36%,625000000.0,9.54%,1888000000.0,18.94%,580000000.0,19.07%,1884000000.0,25.90%
WSC,WillScot Corporation,0.0,3.897768,-6.446744,379000.0_106.43%_140000000.0_27.49%,-6835000.0_32.85%_135000000.0_35.67%,0_0_0_0,-8357000.0_-459.44%_154000000.0_2.47%,379000.0,106.43%,140000000.0,27.49%,-6835000.0,32.85%,135000000.0,35.67%,0,0,0,0,-8357000.0,-459.44%,154000000.0,2.47%
CLRB,Cellectar Biosciences Inc.,0.0,2.1234490000000004,-9.726896,-2920700.0_6.43%_0_0,-3475800.0_-20.22%_0_0,-4078700.0_-57.78%_0_0,-3470700.0_-51.77%_0_0,-2920700.0,6.43%,0,0,-3475800.0,-20.22%,0,0,-4078700.0,-57.78%,0,0,-3470700.0,-51.77%,0,0
GSUM,Gridsum Holding Inc.,0.0,1.6905279999999998,-0.5808439999999999,0_0_0_0,0_0_0_0,0_0_0_0,-34146000.0_-133.51%_151000000.0_53.40%,0,0,0,0,0,0,0,0,0,0,0,0,-34146000.0,-133.51%,151000000.0,53.40%
LIVX,"LiveXLive Media, Inc.",0.0,7.2898,-0.719101,"-10768000.0_-282.52%_7590000.0_2,647.58%",-9500400.0_-86.03%_7114700.0_0,-6718500.0_-47.95%_0_0,-4302000.0_-53.74%_372100.0_65.40%,-10768000.0,-282.52%,7590000.0,"2,647.58%",-9500400.0,-86.03%,7114700.0,0,-6718500.0,-47.95%,0,0,-4302000.0,-53.74%,372100.0,65.40%
PPC,Pilgrim’s Pride Corporation,7.741318,2.245971,2.383315,0_0_0_0,0_0_0_0,134000000.00000001_90.92%_2742000000.0_15.67%,231999999.99999997_135.69%_2794000000.0_11.97%,0,0,0,0,0,0,0,0,134000000.00000001,90.92%,2742000000.0,15.67%,231999999.99999997,135.69%,2794000000.0,11.97%
FWP,Forward Pharma A/S,0.144059,1.473185,19.436525,0_0_0_0,0_0_0_0,-12071500.0_-225.17%_0_0,-12071500.0_-9.94%_0_0,0,0,0,0,0,0,0,0,-12071500.0,-225.17%,0,0,-12071500.0,-9.94%,0,0
CPST,凯普斯通涡轮,0.0,2.759011,-0.17497000000000001,-4897000.0_-19.67%_21189000.0_10.13%,-1943000.0_53.47%_21061000.0_-8.11%,-323000.0_96.98%_22761000.0_12.76%,-3667000.0_37.48%_19774000.0_31.84%,-4897000.0,-19.67%,21189000.0,10.13%,-1943000.0,53.47%,21061000.0,-8.11%,-323000.0,96.98%,22761000.0,12.76%,-3667000.0,37.48%,19774000.0,31.84%
ADMP,Adamis Pharmaceuticals Corporation,0.0,5.213463,-0.969026,-9702400.0_-95.17%_3920600.0_3.03%,-7618400.0_-31.97%_3179200.0_4.65%,"-8025700.000000001_-1,097.57%_2841800.0_15.06%",-6769299.999999999_-1.88%_3388200.0_63.22%,-9702400.0,-95.17%,3920600.0,3.03%,-7618400.0,-31.97%,3179200.0,4.65%,-8025700.000000001,"-1,097.57%",2841800.0,15.06%,-6769299.999999999,-1.88%,3388200.0,63.22%
INO,Inovio Pharmaceuticals Inc,0.0,4.156126,-1.072068,-6639100.0_29.96%_24448800.0_19.78%,-32350800.0_-40.13%_1529600.0_-85.26%,-21506200.0_18.02%_8787200.0_3.21%,-34134600.0_-64.43%_2644500.0_-78.91%,-6639100.0,29.96%,24448800.0,19.78%,-32350800.0,-40.13%,1529600.0,-85.26%,-21506200.0,18.02%,8787200.0,3.21%,-34134600.0,-64.43%,2644500.0,-78.91%
TOCA,Tocagen Inc,16.509247,3.89595,0.545149,-16089000.0_-77.47%_9000.0_-10.00%,-12880000.0_-41.96%_9000.0_-18.18%,-10837000.0_-28.55%_10000.0_-9.09%,-9953000.0_-10.59%_10000.0_-9.09%,-16089000.0,-77.47%,9000.0,-10.00%,-12880000.0,-41.96%,9000.0,-18.18%,-10837000.0,-28.55%,10000.0,-9.09%,-9953000.0,-10.59%,10000.0,-9.09%
LCAHU,"Landcadia Holdings, Inc.",725.806463,0.34748,0.0155,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
