code,open,name,pe,pb,eps,2018-06,2018-03,2017-12,2017-09,net2018-06,net_radio2018-06,income2018-06,income_radio2018-06,net2018-03,net_radio2018-03,income2018-03,income_radio2018-03,net2017-12,net_radio2017-12,income2017-12,income_radio2017-12,net2017-09,net_radio2017-09,income2017-09,income_radio2017-09
KRMA,21.56,Global X Conscious Companies ETF,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEGN,24.56,Aegion Corp,0.0,1.6489169999999997,-2.408242,7198000.0_-40.89%_335000000.0_-5.49%,-1476000.0_-119.04%_325000000.0_-0.10%,-12384000.0_-168.31%_337000000.0_4.88%,-73782000.0_-725.96%_342000000.0_10.81%,7198000.0,-40.89%,335000000.0,-5.49%,-1476000.0,-119.04%,325000000.0,-0.10%,-12384000.0,-168.31%,337000000.0,4.88%,-73782000.0,-725.96%,342000000.0,10.81%
BOKFL,24.77,BOK Financial Corporation 5.375% Subordinated Notes due 2056,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEZS,1.75,依特钠,0.0,-14.140710999999998,-2.4,0_0_0_0,0_0_0_0,0_0_0_0,-9631000.0_-59.06%_241000.0_-10.41%,0,0,0,0,0,0,0,0,0,0,0,0,-9631000.0,-59.06%,241000.0,-10.41%
ABMD,381.33,阿比奥梅德,103.513724,23.831408,3.7109089999999996,90066000.0_140.99%_180000000.0_35.89%,36847000.0_147.31%_174000000.0_39.91%,13446000.0_-12.87%_154000000.0_34.31%,24503000.0_176.09%_133000000.0_29.01%,90066000.0,140.99%,180000000.0,35.89%,36847000.0,147.31%,174000000.0,39.91%,13446000.0,-12.87%,154000000.0,34.31%,24503000.0,176.09%,133000000.0,29.01%
NVMM,1.9,"Novume Solutions, Inc.",0.0,23.359453,-0.451029,-921300.0_-60.96%_12338200.0_280.84%,-2193800.0_-303.05%_11218800.000000002_223.26%,-3127700.0_-581.13%_11004000.0_332.29%,"-791400.0_-1,324.80%_4421600.0_83.81%",-921300.0,-60.96%,12338200.0,280.84%,-2193800.0,-303.05%,11218800.000000002,223.26%,-3127700.0,-581.13%,11004000.0,332.29%,-791400.0,"-1,324.80%",4421600.0,83.81%
PAYX,75.05,沛齐,28.9061,13.357223999999999,2.600835,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARZ,37.65,First Trust Exchange-Traded Fund,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESXB,8.95,Community Bankers Trust Corporat,24.527541,1.555526,0.368973,3782000.0_28.90%_0_0,2594000.0_4.05%_0_0,-640000.0_-123.48%_0_0,2416000.0_-1.71%_0_0,3782000.0,28.90%,0,0,2594000.0,4.05%,0,0,-640000.0,-123.48%,0,0,2416000.0,-1.71%,0,0
EMKR,4.45,埃姆科,0.0,1.1165129999999999,-0.340922,-8414000.0_-446.97%_17717000.0_-42.76%,-3071000.0_-266.18%_18623000.0_-42.86%,-82000.0_-104.67%_24036000.0_-20.35%,2205000.0_10.47%_29176000.0_13.97%,-8414000.0,-446.97%,17717000.0,-42.76%,-3071000.0,-266.18%,18623000.0,-42.86%,-82000.0,-104.67%,24036000.0,-20.35%,2205000.0,10.47%,29176000.0,13.97%
RTTR,1.79,"Ritter Pharmaceuticals, Inc.",0.0,0.938507,-3.222786,-3584700.0000000005_-82.61%_0_0,-2012700.0_-20.29%_0_0,-2216700.0_70.80%_0_0,-2010900.0_42.97%_0_0,-3584700.0000000005,-82.61%,0,0,-2012700.0,-20.29%,0,0,-2216700.0,70.80%,0,0,-2010900.0,42.97%,0,0
WIFI,32.52,Boingo Wireless,0.0,12.904083,-0.132224,2510000.0_131.95%_59601000.0_21.55%,-2773000.0_59.06%_58159000.0_31.19%,-906000.0_78.45%_57348000.0_27.51%,-3240000.0_42.13%_53655000.0_31.52%,2510000.0,131.95%,59601000.0,21.55%,-2773000.0,59.06%,58159000.0,31.19%,-906000.0,78.45%,57348000.0,27.51%,-3240000.0,42.13%,53655000.0,31.52%
OPBK,11.82,OP Bancorp,14.684315,1.544142,0.810048,3791400.0_53.93%_0_0,3215899.9999999995_49.88%_0_0,1899500.0_-15.70%_0_0,2728000.0_32.94%_0_0,3791400.0,53.93%,0,0,3215899.9999999995,49.88%,0,0,1899500.0,-15.70%,0,0,2728000.0,32.94%,0,0
INFO,55.08,IHS Markit Ltd. Common Shares,36.114419,2.7874659999999998,1.529583,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVAV,107.97,AeroVironment公司,48.04074,5.8758099999999995,2.2653689999999997,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IEP,68.09,伊坎企业,8.667541,2.203394,7.876513,588000000.0_-65.91%_2919000000.0_25.17%,423000000.00000006_364.38%_2437000000.0_2.74%,197000000.0_134.93%_4410000000.0_11.22%,828999999.9999999_248.32%_4292000000.0_9.94%,588000000.0,-65.91%,2919000000.0,25.17%,423000000.00000006,364.38%,2437000000.0,2.74%,197000000.0,134.93%,4410000000.0,11.22%,828999999.9999999,248.32%,4292000000.0,9.94%
MDCA,4.75,MDC Partners Inc,1.433232,-0.828126,3.226972,5951000.0_-55.81%_380000000.0_-2.76%,-28519000.0_-194.53%_327000000.0_-5.14%,"231000000.0_1,976.95%_403000000.0_3.15%",21984000.0_170.73%_376000000.0_7.60%,5951000.0,-55.81%,380000000.0,-2.76%,-28519000.0,-194.53%,327000000.0,-5.14%,231000000.0,"1,976.95%",403000000.0,3.15%,21984000.0,170.73%,376000000.0,7.60%
VBIV,1.84,VBI Vaccines Inc.,0.0,0.999717,-0.8936930000000001,0_0_0_0,0_0_0_0,-11543000.0_-37.24%_201000.0_46.72%,-9802000.0_-34.29%_193000.0_-31.32%,0,0,0,0,0,0,0,0,-11543000.0,-37.24%,201000.0,46.72%,-9802000.0,-34.29%,193000.0,-31.32%
ASV,5.65,"ASV Holdings, Inc.",0.0,0.832837,-0.038033,319000.0_-81.79%_31860000.0_-6.95%,-307000.0_-232.33%_29870000.0_6.64%,-796000.0_62.49%_30455000.0_21.57%,522000.0_19.18%_30635000.0_33.13%,319000.0,-81.79%,31860000.0,-6.95%,-307000.0,-232.33%,29870000.0,6.64%,-796000.0,62.49%,30455000.0,21.57%,522000.0,19.18%,30635000.0,33.13%
FLMN,11.26,Falcon Minerals Corp,5071.748916,2.059209,0.00223,17003000.0_72.72%_30457000.0_21.95%,53914000.0_307.21%_22838000.0_-22.37%,0_0_0_0,0_0_0_0,17003000.0,72.72%,30457000.0,21.95%,53914000.0,307.21%,22838000.0,-22.37%,0,0,0,0,0,0,0,0
ECOL,75.15,US Ecology,26.693206,4.860836,2.826562,13220000.0_161.83%_137000000.0_8.61%,9243000.0_78.26%_120000000.0_8.91%,30766000.0_300.44%_134000000.00000001_14.10%,8365000.0_-17.29%_134000000.00000001_7.39%,13220000.0,161.83%,137000000.0,8.61%,9243000.0,78.26%,120000000.0,8.91%,30766000.0,300.44%,134000000.00000001,14.10%,8365000.0,-17.29%,134000000.00000001,7.39%
QRTEA,22.74,Liberty Interactive Corporation,23.381443,0.0,0.97,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLAY,64.12,Dave & Buster,20.819845,5.683841999999999,3.099927,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HTBX,1.88,"Heat Biologics, Inc.",0.0,1.601369,-2.0067180000000002,-4246800.0_-28.34%_1143200.0_177.98%,"-3733200.0_-15.20%_752500.0_3,004.48%",-3355899.9999999995_5.30%_613600.0_405.42%,-2504200.0_-50.49%_470800.0_113.78%,-4246800.0,-28.34%,1143200.0,177.98%,-3733200.0,-15.20%,752500.0,"3,004.48%",-3355899.9999999995,5.30%,613600.0,405.42%,-2504200.0,-50.49%,470800.0,113.78%
GMLP,13.29,Golar LNG Partners LP,10.182337,1.595222,1.312076,29145000.0_-49.42%_84201000.0_-38.07%,14902000.0_-45.72%_74214000.0_-26.80%,29735000.0_-60.42%_90113000.0_-21.60%,30034000.0_-49.55%_106000000.0_-7.21%,29145000.0,-49.42%,84201000.0,-38.07%,14902000.0,-45.72%,74214000.0,-26.80%,29735000.0,-60.42%,90113000.0,-21.60%,30034000.0,-49.55%,106000000.0,-7.21%
FINX,28.69,Global X FinTech Thematic ETF,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNMK,7.62,GenMark Diagnostics,0.0,8.590523,-1.041754,-16521000.0_8.16%_14941000.0_20.89%,-11423000.0_17.92%_20645000.0_64.70%,-14538000.0_-14.67%_16022000.0_7.64%,-15408000.0_-27.78%_11603000.0_7.31%,-16521000.0,8.16%,14941000.0,20.89%,-11423000.0,17.92%,20645000.0,64.70%,-14538000.0,-14.67%,16022000.0,7.64%,-15408000.0,-27.78%,11603000.0,7.31%
CG,23.75,凯雷,12.472533,3.697696,1.9182150000000002,241000000.0_4.64%_734000000.0_-6.21%,118000000.0_-63.44%_579000000.0_-37.61%,"288000000.0_1,871.23%_861999999.9999999_96.00%",167000000.0_429.78%_548000000.0_16.67%,241000000.0,4.64%,734000000.0,-6.21%,118000000.0,-63.44%,579000000.0,-37.61%,288000000.0,"1,871.23%",861999999.9999999,96.00%,167000000.0,429.78%,548000000.0,16.67%
SQQQ,11.35,纳指三倍做空ETF,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FTLB,23.06,First Trust Low Beta Income ETF,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELOX,15.23,"Eloxx Pharmaceuticals, Inc.",0.0,8.947712,-3.713997,-13406000.0_-245.69%_0_0,-8591000.0_-220.80%_0_0,-10618000.0_-186.59%_0_0,-4040000.0_-73.24%_0_0,-13406000.0,-245.69%,0,0,-8591000.0,-220.80%,0,0,-10618000.0,-186.59%,0,0,-4040000.0,-73.24%,0,0
ATIS,0.27899999999999997,Attis Industries Inc.,0.0,0.6911,-2.719374,12592000.0_267.17%_281800.0_-98.02%,-3327500.0_-10.08%_788199.9999999999_0,0_0_0_0,-6610500.0_-76.94%_14840900.0_76.90%,12592000.0,267.17%,281800.0,-98.02%,-3327500.0,-10.08%,788199.9999999999,0,0,0,0,0,-6610500.0,-76.94%,14840900.0,76.90%
VRAY,9.82,ViewRay Incorporated,0.0,24.373128,-0.953585,"-21990000.0_-163.26%_16443000.0_2,255.73%","-4814000.0_82.78%_26190000.0_2,034.47%",-24646000.0_-123.91%_19920000.0_23.53%,"-11216000.0_20.71%_12197000.0_3,316.53%",-21990000.0,-163.26%,16443000.0,"2,255.73%",-4814000.0,82.78%,26190000.0,"2,034.47%",-24646000.0,-123.91%,19920000.0,23.53%,-11216000.0,20.71%,12197000.0,"3,316.53%"
MLCO,22.18,新濠博亚娱乐,26.505927000000003,3.6691510000000003,0.8388690000000001,53139000.0_86.73%_1229000000.0_-5.36%,163000000.0_58.82%_1313000000.0_2.81%,71392000.0_332.39%_1333000000.0_11.71%,112999999.99999999_157.58%_1377000000.0_19.46%,53139000.0,86.73%,1229000000.0,-5.36%,163000000.0,58.82%,1313000000.0,2.81%,71392000.0,332.39%,1333000000.0,11.71%,112999999.99999999,157.58%,1377000000.0,19.46%
LECO,97.3,林肯电气控股,24.596231,6.740278,3.964022,68859000.0_12.27%_790000000.0_26.03%,60820000.0_8.90%_758000000.0_30.44%,24185000.0_-54.71%_747000000.0_32.52%,106000000.0_76.74%_669000000.0_17.94%,68859000.0,12.27%,790000000.0,26.03%,60820000.0,8.90%,758000000.0,30.44%,24185000.0,-54.71%,747000000.0,32.52%,106000000.0,76.74%,669000000.0,17.94%
NKTR,58.98,内克塔治疗,11.179822,5.445463,5.254109,"971000000.0000001_1,722.59%_1088000000.0_3,044.69%",-95792000.0_-49.99%_38018000.0_53.74%,-33826000.0_19.84%_95466000.0_154.90%,60871000.0_240.83%_153000000.0_320.87%,971000000.0000001,"1,722.59%",1088000000.0,"3,044.69%",-95792000.0,-49.99%,38018000.0,53.74%,-33826000.0,19.84%,95466000.0,154.90%,60871000.0,240.83%,153000000.0,320.87%
RDVY,31.97,First Trust NASDAQ Rising Dividend Achievers,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SONO,13.9,Sonos Inc,0.0,66.414313,-0.484199,-26988000.0_-85.62%_208000000.0_-6.58%,-32593000.0_-64.69%_187000000.0_2.29%,45697000.0_30.50%_469000000.00000006_25.79%,0_0_0_0,-26988000.0,-85.62%,208000000.0,-6.58%,-32593000.0,-64.69%,187000000.0,2.29%,45697000.0,30.50%,469000000.00000006,25.79%,0,0,0,0
HRZN,11.22,Horizon Technology Finance Corpo,12.110365,0.972814,0.9319620000000001,2930000.0_299.73%_440000.0_-4.35%,2603000.0_-28.74%_422000.0_-38.21%,2496000.0_524.49%_342000.0_71.00%,2709000.0_148.01%_529000.0_-32.95%,2930000.0,299.73%,440000.0,-4.35%,2603000.0,-28.74%,422000.0,-38.21%,2496000.0,524.49%,342000.0,71.00%,2709000.0,148.01%,529000.0,-32.95%
NEOS,4.95,"Neos Therapeutics, Inc.",0.0,-8.001256,-1.996564,-15207000.0_18.44%_11363000.0_119.41%,-14436000.0_16.17%_10729000.0_90.53%,-14224000.0_22.58%_7787000.0_122.30%,-16258000.0_37.00%_6695000.0_322.93%,-15207000.0,18.44%,11363000.0,119.41%,-14436000.0,16.17%,10729000.0,90.53%,-14224000.0,22.58%,7787000.0,122.30%,-16258000.0,37.00%,6695000.0,322.93%
MPAC,10.05,Matlin & Partners Acquisition Corp,47.284995,18.736165,0.21254099999999998,655300.0_434.84%_0_0,"676700.0_2,776.93%_0_0","375000.0_37,598.70%_0_0",285300.0_0_0_0,655300.0,434.84%,0,0,676700.0,"2,776.93%",0,0,375000.0,"37,598.70%",0,0,285300.0,0,0,0
HSII,34.95,海德思哲服务,0.0,2.803558,-0.5120359999999999,11463000.0_162.82%_183000000.0_20.26%,"10168000.0_1,464.31%_160000000.0_14.33%","-39208000.0_-8,052.94%_169000000.0_5.98%",8171000.0_17.74%_160000000.0_11.34%,11463000.0,162.82%,183000000.0,20.26%,10168000.0,"1,464.31%",160000000.0,14.33%,-39208000.0,"-8,052.94%",169000000.0,5.98%,8171000.0,17.74%,160000000.0,11.34%
STRL,14.05,Sterling Construction Company In,17.772042000000003,2.492856,0.793381,9142000.0_100.35%_269000000.0_9.06%,3680000.0_295.12%_222000000.00000003_45.03%,4314000.0_174.71%_254000000.0_50.83%,8826000.0_179.75%_304000000.0_47.95%,9142000.0,100.35%,269000000.0,9.06%,3680000.0,295.12%,222000000.00000003,45.03%,4314000.0,174.71%,254000000.0,50.83%,8826000.0,179.75%,304000000.0,47.95%
SCAC,10.08,Saban Capital Acquisition Corp,697.322249,63.299278,0.014527000000000002,-543400.0_-358.68%_0_0,"280900.0_2,533.49%_0_0",378800.0_392.18%_0_0,337700.00000000006_325.38%_0_0,-543400.0,-358.68%,0,0,280900.0,"2,533.49%",0,0,378800.0,392.18%,0,0,337700.00000000006,325.38%,0,0
LIVN,120.87,LivaNova PLC,0.0,3.313618,-1.156743,15066000.0_-68.28%_287000000.0_12.37%,13273000.0_17.76%_250000000.0_10.39%,-112000000.00000001_-274.84%_278000000.0_-10.38%,"27830000.0_1,873.74%_310000000.0_4.88%",15066000.0,-68.28%,287000000.0,12.37%,13273000.0,17.76%,250000000.0,10.39%,-112000000.00000001,-274.84%,278000000.0,-10.38%,27830000.0,"1,873.74%",310000000.0,4.88%
IAM,10.14,I-AM Capital Acquisition Company,0.0,4.573067,-0.004321,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WLDN,30.26,Willdan Group,22.673393,3.39854,1.344748,3315000.0_0.09%_59833000.0_-16.71%,2203000.0_-16.58%_54595000.0_-20.13%,3290000.0_109.69%_64161000.0_11.73%,2886000.0_17.22%_69007000.0_17.64%,3315000.0,0.09%,59833000.0,-16.71%,2203000.0,-16.58%,54595000.0,-20.13%,3290000.0,109.69%,64161000.0,11.73%,2886000.0,17.22%,69007000.0,17.64%
BCTF,16.3,"Bancorp 34, Inc.",54.609473,1.1441,0.298483,379600.0_12.26%_0_0,370600.0_287.42%_0_0,-591500.0_-114.02%_0_0,811700.0_39.08%_0_0,379600.0,12.26%,0,0,370600.0,287.42%,0,0,-591500.0,-114.02%,0,0,811700.0,39.08%,0,0
DOOO,46.79,BRP Inc.,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ULTA,285.83,Ulta Salon,27.801653,9.43683,10.293003,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELT,0.9,DELTA 科技控股有限公司,0.0,0.272034,-3.6241410000000003,0_0_0_0,0_0_0_0,-6667900.0_-180.80%_12704000.0_-15.91%,-6667900.0_-180.80%_12704000.0_-15.91%,0,0,0,0,0,0,0,0,-6667900.0,-180.80%,12704000.0,-15.91%,-6667900.0,-180.80%,12704000.0,-15.91%
CNBKA,71.3,世纪银行,14.652351999999999,1.014145,4.89,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYL,39.2,迈兰制药,44.993906,1.643572,0.8650059999999999,37500000.0_-87.37%_2755000000.0_-5.84%,87100000.0_31.17%_2650000000.0_-1.38%,244000000.0_-41.49%_3190000000.0_-0.99%,88300000.0_173.71%_2956000000.0_-2.42%,37500000.0,-87.37%,2755000000.0,-5.84%,87100000.0,31.17%,2650000000.0,-1.38%,244000000.0,-41.49%,3190000000.0,-0.99%,88300000.0,173.71%,2956000000.0,-2.42%
CYTR,1.08,赛特科科技,0.0,1.4213719999999999,-0.500471,-3009600.0_79.04%_0_0,-4075600.0_63.10%_0_0,-4459600.0_41.87%_100000.0_0.00%,-5124400.000000001_57.91%_0_0,-3009600.0,79.04%,0,0,-4075600.0,63.10%,0,0,-4459600.0,41.87%,100000.0,0.00%,-5124400.000000001,57.91%,0,0
DBX,26.74,Dropbox Inc.,0.0,16.981172,-2.396939,-4100000.0_84.70%_339000000.0_27.18%,"-466000000.0_-1,306.34%_316000000.0_27.59%",-37700000.0_-29.55%_306000000.0_28.36%,-14100000.0_66.90%_287000000.0_29.73%,-4100000.0,84.70%,339000000.0,27.18%,-466000000.0,"-1,306.34%",316000000.0,27.59%,-37700000.0,-29.55%,306000000.0,28.36%,-14100000.0,66.90%,287000000.0,29.73%
LEGR,30.8,First Trust Indxx Innovative Transaction & Process ETF,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBCAA,49.24,Republic Bancorp,20.370987,1.469905,2.43,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QQQC,26.82,Global X NASDAQ China Technology,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZBRA,175.3,Zebra Technologies Corporation,55.014982999999994,8.788439,3.192403,70000000.0_311.76%_1011999999.9999999_12.95%,"109000000.00000001_1,262.50%_977000000.0_12.95%",4000000.0_-76.47%_1026000000.0_8.92%,-12000000.0_85.54%_935000000.0_3.43%,70000000.0,311.76%,1011999999.9999999,12.95%,109000000.00000001,"1,262.50%",977000000.0,12.95%,4000000.0,-76.47%,1026000000.0,8.92%,-12000000.0,85.54%,935000000.0,3.43%
SCOR,20.56,康姆斯克,0.0,2.088572,-5.456829,-55977000.0_-44.92%_101000000.0_1.96%,-51450000.0_-26.13%_106000000.0_5.01%,-71906000.0_-125.48%_103000000.0_-3.74%,-130000000.0_-316.94%_100000000.0_-0.40%,-55977000.0,-44.92%,101000000.0,1.96%,-51450000.0,-26.13%,106000000.0,5.01%,-71906000.0,-125.48%,103000000.0,-3.74%,-130000000.0,-316.94%,100000000.0,-0.40%
CGNX,56.88,康耐视科技,58.669863,9.108293,0.9738389999999999,0_0_0_0,0_0_0_0,-26897000.0_-170.31%_180000000.0_39.47%,0_0_0_0,0,0,0,0,0,0,0,0,-26897000.0,-170.31%,180000000.0,39.47%,0,0,0,0
OLLI,93.25,"Ollie's Bargain Outlet Holdings, Inc.",38.755177,6.819069,2.413871,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBRDA,85.07,Liberty Broadband Corporation - Class A,13.477093,0.0,6.33,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBLIZ,25.5725,Global Indemnity plc,9.004402,0.0,2.84,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LVHD,31.24,Legg Mason Low Volatility High Dividend ETF,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGNC,18.81,美国资本代理公司,5.314923,1.0530389999999998,3.5484989999999996,"293000000.0_1,120.83%_0_0",424000000.0_457.89%_0_0,385000000.0_-62.22%_0_0,286000000.0_-44.03%_0_0,293000000.0,"1,120.83%",0,0,424000000.0,457.89%,0,0,385000000.0,-62.22%,0,0,286000000.0,-44.03%,0,0
AAXJ,71.2,亚洲ETF-iShares MSCI,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKTX,2.09,Akari Therapeutics PLC,0.0,1.962709,-1.857248,0_0_0_0,-1338600.0000000002_89.36%_0_0,-12118200.0_-46.25%_0_0,"-10376600.0_-2,381.75%_0_0",0,0,0,0,-1338600.0000000002,89.36%,0,0,-12118200.0,-46.25%,0,0,-10376600.0,"-2,381.75%",0,0
NTWK,5.95,奈特阳科技,0.0,1.101251,-0.004909,0_0_0_0,4859300.0_127.26%_17043800.0_-5.04%,1662000.0_220.72%_14446400.000000002_-8.91%,-181300.0_-147.31%_12818800.000000002_-24.93%,0,0,0,0,4859300.0,127.26%,17043800.0,-5.04%,1662000.0,220.72%,14446400.000000002,-8.91%,-181300.0,-147.31%,12818800.000000002,-24.93%
KNSL,61.44,Kinsale Capital Group Inc.,47.257209,5.279371,1.3077370000000001,10112000.0_19.03%_0_0,7287000.0_16.02%_0_0,5924000.0_-13.78%_0_0,4201000.0_-47.37%_0_0,10112000.0,19.03%,0,0,7287000.0,16.02%,0,0,5924000.0,-13.78%,0,0,4201000.0,-47.37%,0,0
OBNK,39.26,Origin Bancorp,32.603149,1.7896009999999998,1.209239,12702000.0_232.25%_0_0,13407000.0_85.00%_0_0,0_0_0_0,0_0_0_0,12702000.0,232.25%,0,0,13407000.0,85.00%,0,0,0,0,0,0,0,0,0,0
CME,174.71,芝加哥商品交易所,13.456848,2.580691,13.019394,566000000.0_36.15%_1046000000.0000001_14.58%,599000000.0_49.77%_1095000000.0_19.87%,2939000000.0_687.15%_886000000.0_-0.67%,309000000.0_-34.73%_878999999.9999999_5.99%,566000000.0,36.15%,1046000000.0000001,14.58%,599000000.0,49.77%,1095000000.0,19.87%,2939000000.0,687.15%,886000000.0,-0.67%,309000000.0,-34.73%,878999999.9999999,5.99%
DISCA,32.42,探索传播,17.148148000000003,0.0,1.89,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FISI,32.35,Financial Institutions,12.964789999999999,1.4023809999999999,2.510646,12170000.0_94.84%_0_0,9288000.0_16.93%_0_0,11058000.0_27.21%_0_0,8279000.0_-2.24%_0_0,12170000.0,94.84%,0,0,9288000.0,16.93%,0,0,11058000.0,27.21%,0,0,8279000.0,-2.24%,0,0
NFLX,367.96,"Netflix, Inc.",161.001811,35.545674,2.279788,384000000.0_485.90%_3907000000.0_40.27%,290000000.0_62.79%_3701000000.0_40.36%,186000000.0_177.94%_3286000000.0_32.62%,130000000.0_151.55%_2985000000.0_30.33%,384000000.0,485.90%,3907000000.0,40.27%,290000000.0,62.79%,3701000000.0,40.36%,186000000.0,177.94%,3286000000.0,32.62%,130000000.0,151.55%,2985000000.0,30.33%
MSEX,47.53,米德尔赛克斯水务公司,30.053751000000002,3.318368,1.590151,8675000.0_61.22%_0_0,4494000.0_1.19%_0_0,5346000.0_66.02%_0_0,7642000.0_-13.29%_0_0,8675000.0,61.22%,0,0,4494000.0,1.19%,0,0,5346000.0,66.02%,0,0,7642000.0,-13.29%,0,0
ATRO,43.35,Astronics,67.806979,3.476589,0.640937,14025000.0_82.50%_209000000.0_38.05%,3294000.0_-71.57%_179000000.0_17.50%,-5653000.0_-157.19%_171000000.0_11.20%,6060000.0_-49.81%_150000000.0_-3.52%,14025000.0,82.50%,209000000.0,38.05%,3294000.0,-71.57%,179000000.0,17.50%,-5653000.0,-157.19%,171000000.0,11.20%,6060000.0,-49.81%,150000000.0,-3.52%
CIDM,1.24,Cinedigm数码影院,0.0,-1.565067,-0.42390200000000006,-3283000.0_36.28%_13078000.0_-14.19%,46000.0_100.48%_17673000.0_-9.80%,"-5924000.0_-1,131.60%_18492000.0_-24.35%","-7465000.0_-1,445.55%_16278000.0_-31.83%",-3283000.0,36.28%,13078000.0,-14.19%,46000.0,100.48%,17673000.0,-9.80%,-5924000.0,"-1,131.60%",18492000.0,-24.35%,-7465000.0,"-1,445.55%",16278000.0,-31.83%
SLVO,6.5,Credit Suisse AG - Credit Suisse,0.0,0.0,0.0,0_0_0_0,0_0_0_0,0_0_0_0,0_0_0_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WNEB,10.8,Western New England Bancorp Inc,26.506815000000003,1.298175,0.41121499999999994,5138000.0_36.79%_0_0,3519000.0_-31.04%_0_0,-354000.0_-119.10%_0_0,3815000.0_507.48%_0_0,5138000.0,36.79%,0,0,3519000.0,-31.04%,0,0,-354000.0,-119.10%,0,0,3815000.0,507.48%,0,0
SORL,4.35,瑞立集团,3.184356,0.45475699999999997,1.372334,7492700.0_13.82%_129000000.0_40.09%,9192800.0_19.50%_108000000.0_44.12%,3212000.0_-65.22%_123000000.0_43.24%,9539000.0_165.08%_101000000.0_59.06%,7492700.0,13.82%,129000000.0,40.09%,9192800.0,19.50%,108000000.0,44.12%,3212000.0,-65.22%,123000000.0,43.24%,9539000.0,165.08%,101000000.0,59.06%
