code,name,pe,pb,eps,count,end,max,mean,min,price_end,price_middle,price_start,start,,std,volume_end,volume_start,,year
RNEM,First Trust Emerging Markets Equity Select ETF,0,0,0,16,49.15,58.65,52.92979375,49.15,51.325,55.4688,52.31654,49.86,,2.58931802,29482.5,14527.625,,1
MBIN,Merchants Bancorp,11.877227,2.169992,2.237054,12,26.17,28.53,22.47333333,17.16,26.33,22.2225,18.8675,17,9.17,3.57904084,1448418,1876237,,1
CHUBA,"CommerceHub, Inc. Series A",87.42308,0,0.26,24,22.73,22.86,18.6575,14.1,21.94,18.90375,15.12875,13.6,9.13,3.37904315,3986889.917,2159607.25,,2
FITB,五三银行,7.670899,1.316939,3.839185,252,29.74,68.59,32.23589484,2.11,20.8402381,24.93369048,50.93375595,28.9467,,17.03158888,232682205.4,41106647.02,,21
KE,"Kimball Electronics, Inc.",31.770867,1.494186,0.62636,47,19.5,22,15.27212766,10.04,18.9875,14.3875,12.25266667,10.4,9.1,3.497940348,1462055.583,1322204.348,,3
AAME,美国大西洋,51.615369,0.538062,0.05231,252,2.8515,5.31,2.862259921,0.61,3.557875,2.158071429,2.870833333,4,-1.1485,1.076455296,107337.8333,155909.5238,-48571.69048,21
WVE,Wave Life Sciences Pte. Ltd,0,10.25151,-4.531369,35,52.35,53.3,28.76714286,13.52,41.80833333,25.30416667,18.31818182,17.05,,11.95851618,3144783.944,1193306.412,,2
HURN,休伦咨询,0,2.012107,-1.1007,168,49.7,80.45,44.05014881,18.45,54.45732143,33.850625,43.8425,18.5,,16.3416971,2876970.321,5669842.857,,14
LFAC,LF Capital Acquistion Corp.,0,1.214418,-0.101034,4,9.6,9.63,9.61,9.6,9.6,9.61,9.63,9.65,,0.014142136,526317.5,1085488,-559170.5,0
HCCH,HL Acquisitions Corp.,0,3834.324108,-0.003988,3,9.58,9.83,9.663333333,9.58,9.58,9.58,9.83,9.54,,0.144337567,47109,1062310,-1015201,0
AWX,Avalon Holdings Corp,50.908319,0.428301,0.084662,245,4.56,10.6,3.737537143,1.25,3.251604878,4.175426829,3.78617284,5.75,-1.19,1.766616657,866295.2602,153412.2951,712882.9651,20
GBDC,Golub Capital BDC,12.760378,1.172493,1.484282,102,19.12,20.33,17.08171569,14.03,18.43470588,17.38014706,15.43029412,14.5,,1.510104005,3635622.176,3023631.373,,8
SRET,Global X SuperDividend REIT ETF,0,0,0,43,15.635,15.7299,14.61172791,11.84,15.21899333,14.92535714,13.64745714,15.19,,0.981815192,748307.1818,238424.2857,,3
IBOC,国际银行,16.109038,1.639587,2.892786,252,46.8,46.85,21.836175,7.8,27.91208333,22.01995595,15.57648571,9.4565,,8.388582165,240586842.7,68041018.04,,21
ROCK,Gibraltar Industries,18.852,2.5864,2.424146,252,45.8,45.8,18.10205675,4.72,23.68303571,16.73805595,13.88507857,16,,8.435063507,3688005.159,1659080.952,,21
KRNT,Kornit Digital Ltd.,338.44643,4.049487,0.054957,42,21.05,21.05,14.41833333,9.38,16.58214286,14.54785714,12.125,12,9.05,3.47637035,6280040.476,1193883.905,,3
COLM,哥伦比亚户外,46.694105,3.859281,1.937932,247,91,91.47,21.04477773,2,42.57186747,12.21871951,8.081220732,4.1267,,21.3053314,10102109.76,20218681.3,,20
INDB,美国独立银行,23.733838,2.546493,3.806801,252,91.35,91.35,31.30551587,10.25,47.46642857,27.34119048,19.10892857,14,,16.09874525,1484626.778,711126.9841,,21
FMHI,First Trust Municipal High Income ETF,0,0,0,11,50.4857,50.65,50.27688182,49.89,50.478925,50.0625,50.29333333,49.95,,0.242240694,50551.16667,129102.8,,0
ASB,Associated Banc-Corp,16.609294,1.296598,1.643658,46,27.6,27.6,21.97847826,16.81,25.5625,21.47333333,18.66066667,18.55,9.05,3.53682844,21517877.96,18045996.13,,3
NFBK,Northfield Bancorp,27.779078,1.255302,0.597572,131,16.23,19.97,12.21740458,7.11,16.28159091,11.66636364,8.62255814,7.14,,3.395206992,2996662.682,1255203.077,,10
ANIK,阿尼卡医疗,32.872416,2.449494,1.260023,252,42.38,66.72,16.69452381,0.78,35.02285714,9.684404762,5.376309524,8.5,,16.08846947,2404420.31,1437877.778,,21
CSSEP,Chicken Soup,0,0,0,4,25.19,25.45,25.165025,25,25.10505,25.45,25,24.39,,0.208223444,42777,50654.5,,0
ALNY,阿尔尼拉姆制药公司,0,6.016482,-5.869028,173,119.12,134.54,40.57407514,5.15,84.90905172,19.18913793,17.22140351,6.1,,36.32821393,15116160.54,5621266.279,,14
POWL,Powell Industries,0,1.525041,-1.204798,252,38.5,68.59,28.52097222,6.88,40.14392857,30.70017857,14.71880952,16.5,,13.7528673,1053415.651,607914.2857,,21
HTBK,Heritage Commerce Corp,31.407123,1.998409,0.509757,243,15.86,26.55,11.72825926,2.64,10.25518519,13.21703704,11.71255556,9.3939,,5.726028133,1289619.377,399879.3802,,20
KEYW,KEYW控股,0,1.336065,-0.060518,96,8.79,18.71,10.2875,4.7,8.7115625,10.7353125,11.415625,10.3,,2.833810156,8015964.542,3929102.083,4086862.458,8
UBSI,联合银行,20.686087,1.26472,1.909496,252,39.35,46.25,29.92152778,15.4,33.63630952,29.56404762,26.56422619,22.5,,6.20056394,6865067.794,2087337.302,,21
SBCF,Seacoast Banking Corp of Florida,22.996633,2.059943,1.366287,252,31.6,153.9,47.33164325,5.95,15.60833333,62.89821429,63.48838214,53.7879,,39.15569693,2191004.905,166951.5873,,21
BKT,BKT信托,588.776464,0.893271,0.009783,252,5.78,8.2,6.703261111,5.49,6.60145,6.404166667,7.104166667,7,-1.22,0.621482405,3151548.794,2539575.397,611973.3968,21
MFSF,MutualFirst Financial Inc,22.566832,1.713581,1.703828,226,37.7,38.7,18.44559735,4.8,24.53782895,11.606,19.11173333,9.94,,8.446767283,148575.7168,305784.9558,,18
SRCL,消毒循环,31.472672,1.822177,1.948357,252,62.14,141.14,53.46488095,2.345,98.81458333,49.95541667,11.62464286,2.375,,39.92024765,13082249.49,13085470.63,,21
QSII,Quality Systems,1292.241977,4.264078,0.017311,252,22.84,48.5,14.5196627,0.47,18.42255952,22.91863095,2.217797619,0.875,,11.34511642,10270396.91,8668001.587,,21
UMRX,Unum Therapeutics,0,5.804004,-2.31731,7,14.52,16.77,13.83142857,11.11,15.86666667,13.33,11.28,11.75,,2.269863642,6813896.75,1962050,,0
SOHO,Sotherly Hotels Inc.,0,1.075469,-0.310911,66,7.29,8.24,6.362733333,4.2,6.618254545,6.230854545,6.239090909,4,,1.034581736,933316.3333,610602.5455,322713.7879,5
TLRD,"Tailored Brands, Inc.",10.070931,-29.82251,2.213301,32,23.03,32.81,18.6396875,10.62,24.36,15.74636364,15.53,14.05,8.98,5.854060892,27935677.94,28893407.5,,2
TRMK,Trustmark Corporation,19.152825,1.532084,1.873875,252,35.77,35.77,24.82238095,15.44,26.6047619,24.76869048,23.09369048,15.845,,4.273254995,6997830.214,2490633.333,,21
FLGT,Fulgent Genetics Inc.,0,1.491311,-0.318669,25,4.13,13.07,6.573492,3.65,4.228588889,5.12375,10.66125,9.21,,3.042300534,539062.9231,1072743.25,-533680.3269,2
AMAT,应用材料,12.85003,6.311191,3.325284,252,42.62,57.59,20.25161706,6.14,25.44380952,15.5885119,19.72252976,12.0162,,10.70218385,311679165.2,642209143.7,,21
AXTA,Axalta Coating Systems Ltd.,52.392807,5.546465,0.573552,47,29.91,34.25,29.21617021,23.8,30.92,28.466875,28.198,20.94,8.97,2.513740114,44313286.29,36497652.3,,3
NAVG,领航者,33.382392,1.676375,2.081936,252,69.65,70,24.19320437,4.345,39.55955357,23.14946429,9.870595238,10.625,,14.47143788,2042038.96,1302592.063,,21
SYF,Synchrony Financial,10.577367,1.606579,2.964821,51,31.97,39.68,31.13607843,23,32.90058824,30.51647059,29.99117647,23,8.97,3.544249471,134800489.9,104226450.4,,4
BNDX,Vanguard Total International Bon,0,0,0,64,54.685,56.1,53.26851563,49.33,54.48477273,54.08952381,51.17333333,50.6,,1.842700675,18721380.28,9367437.563,,5
THST,Truett-Hurst Inc.,0,0.779845,-0.305201,64,1.86,5.9,2.781173438,0.92,1.936131818,1.743104762,4.70452381,5.94,,1.487105714,910249.8438,414251.7813,495998.0625,5
AGIO,"Agios Pharmaceuticals, Inc.",0,5.279021,-6.233862,63,81.14,122.02,61.7565873,17.55,67.49904762,64.0797619,53.69095238,29,,26.36817601,12108088.38,9429610.968,,5
WSBF,Waterstone Financial,17.355316,1.16094,0.976646,156,16.85,19.5,10.26153846,1.72,15.50269231,5.129519231,10.15240385,10.015,,5.660721447,1524379.167,620403.8462,,13
BOKF,BOK银行,17.578049,1.869715,5.775954,252,103.36,103.36,47.75795437,13.7715,69.35130952,48.07916667,25.8433869,16.2618,,20.37835567,2849959.944,820430.9127,,21
PRMW,Primo Water Corporation,67.679456,5.036767,0.298318,95,20.2,20.2,7.824736842,0.744,13.103125,4.78175,5.517225806,15,,5.240841577,3286615.438,4406110.638,,7
CLDX,塞德斯医疗,0,0.59663,-1.168029,252,0.471,132.7697,20.39287659,0.465,10.20323571,11.35629405,39.6191,25.5694,,22.76431371,28127812.98,623449.5,27504363.48,21
CUTR,古特拉,18.314628,6.691623,1.831869,175,34.05,50.25,16.13728571,6.28,20.34932203,8.561637931,19.42827586,14.59,,10.30426846,1918022.864,3584878.161,,14
BLMT,BSB Bancorp,15.604629,1.680448,2.111553,84,33.4,34.4,20.68107143,10.21,29.09392857,20.16857143,12.78071429,10.3,,7.129747967,280054.6429,361373.8095,,7
FBNC,第一万能金控,17.163948,1.755603,2.495638,252,41.84,41.84,17.85605,8.04,20.65797619,17.92321429,14.98695952,12.4444,,6.626831205,907989.0238,274675,,21
CFBI,"Community First Bancshares, Inc",0,1.145192,-0.013921,18,11.55,13.53,12.18898333,11.11,11.35945,12.06333333,13.14416667,11.74,,0.894178995,104776.4444,416134.3333,,1
FDEF,第一迪法恩斯金融,15.812433,1.715195,2.057242,252,31.9,33.53,11.87051587,2.59,17.72119048,9.761845238,8.128511905,8,,6.541298844,883112.873,482900,,21
CUBA,CUBA基金,0,0.81286,-0.208028,252,6.47,15.98,6.596234524,3.09,7.573763095,7.640297619,4.574642857,5.72,,2.212036317,1037897.929,168493.6508,869404.2778,21
HWCPL,Hancock Whitney Corp.,0,0,0,42,25.52,26.9899,25.34815238,23.9,25.63392143,25.75589286,24.65464286,24.25,,0.741878872,130157.1905,650340.2857,,3
MPCT,iShares Sustainable MSCI Global Impact ETF,0,0,0,30,57.628,61.55,54.14049,47.51,58.73709,55.13923,48.54515,48.4596,,4.680028953,69265.66667,58884.93333,,2
HIHO,公路控股,9.933945,1.311438,0.407693,252,3.75,5.76,2.812202381,0.55,3.251916667,2.96552381,2.219166667,3.88,-0.13,1.323206649,323421.3492,330480.9524,-7059.603175,21
PATK,Patrick Industries,13.888274,3.853445,4.565002,252,65.35,69.45,11.91967341,0.1867,28.28872024,3.071140476,4.399159524,7.0578,,16.52926758,2750306.365,341133.9286,,21
SNH,Senior Housing Properties Trust,9.715654,1.360933,1.932963,228,18.69,28.43,18.56004386,7.33,20.66842105,21.02921053,13.9825,16,,4.479895914,32312690.41,9241322.807,,19
AGND,WisdomTree Barclays U.S. Aggrega,0,0,0,58,43.4,50.17,44.47669138,41.78,43.53664,43.27606842,46.66684211,50.14,,1.922663812,132136.7931,169044.2759,,4
MCBC,Macatawa Bank Corporation,21.487133,2.339367,0.575228,245,12.39,24.105,9.48551102,1.2,6.56597561,10.3750622,11.54055679,9.3751,,5.807920152,975129.8211,570359.4016,,20
SQLV,Legg Mason Small-Cap Quality Value ETF,0,0,0,15,30.83,30.83,27.73421333,24.53,30.09,27.36864,25.744,25.13,,1.983005597,20452.375,29425.57143,,1
ATLO,艾姆斯,19.127226,1.704828,1.607656,221,29.95,37.5,21.8814543,6.6983,25.37189189,20.54986486,19.69303288,6.6875,,5.041926294,160780.1532,68430,,18
HTLF,哈特兰金融,22.009288,1.681113,2.782916,244,60.8,60.8,22.39205082,8.1667,34.63670732,19.38839506,12.99988148,10.8333,,11.8816476,920192.418,203581.9672,,20
NWBI,Northwest Bancshares,19.183178,1.539596,0.956046,252,18.28,18.28,7.754685714,1.32,14.12833333,6.585090476,2.550633333,2.1733,,5.30645297,10861120.52,3656562.5,,21
TRS,瑞奇包装系统,26.3914,2.391411,1.157574,110,30.2,39.89,23.19081818,4.49,22.66324324,30.89513514,15.81472222,5.28,,8.255338682,4271619.836,3601480,,9
GSBC,南方万通金控,16.583218,1.737983,3.633191,252,59.1,59.3,25.59140873,7.595,38.14357143,23.40547619,15.22517857,9.875,,12.61993924,543031.3968,305819.8413,,21
MBFI,MB金融,13.242241,1.490363,3.638357,252,48.88,49.39,25.96981508,6.6267,32.48202381,27.96559524,17.46182619,12,,11.37700612,6373902.341,1258863.492,,21
PROV,Provident Financial Holdings,63.74138,1.109607,0.282548,252,18.02,32.6,15.23686865,2.76,16.29559524,16.56630952,12.84870119,8.7778,,7.370735178,512020.0635,383831.746,,21
SBGI,Sinclair Broadcast Group,5.402489,1.845462,5.414171,252,28.1,40.5,15.89638889,1.03,26.68630952,7.897440476,13.10541667,20.125,,10.0120482,19319678.21,9969864.286,,21
MYRG,MYR Group,18.341857,1.919174,1.911475,122,34.64,42.26,23.75459016,9.46,30.66560976,22.86097561,17.58675,16,,7.01219518,2375882.672,2686947.541,,10
MRNS,Marinus Pharmaceuticals,0,5.220903,-0.715362,51,7.29,16.49,5.870098039,1.01,5.306470588,2.903823529,9.4,8,,3.59607098,20991474.38,2940019.32,18051455.06,4
ANCB,Anchor Bancorp,32.166668,1.044706,0.9,93,28.85,29.55,19.17234624,5.96,25.62397419,20.68467742,11.2083871,10.5,,6.53478662,115640.5532,84491.30435,,7
SRCE,1st Source Corporation,19.508276,1.996458,2.917736,252,56.2,56.56,21.62982778,8.2975,31.77605238,17.26867976,15.84475119,17.6466,,10.49020655,801970.0952,570009.6905,,21
MFIN,Medallion Financial Corp.,0,0.53965,-1.054635,29,6.69,8.09,4.046206897,1.98,4.999,2.326,4.898888889,8.03,,1.843619138,2521792.6,4168280.071,-1646487.471,2
FOX,21世纪福克斯公司,18.495109,4.221415,2.410367,118,44.87,49.27,24.51355932,5.525,31.29925,28.89153846,13.17589744,8.05,,9.556783046,73237305.53,77260810.17,,9
LRCX,拉姆研究,11.709655,4.17977,14.728017,252,171.96,208.57,49.35644841,3.3333,89.2427381,38.7089881,20.11761905,15.6267,,42.63286981,50442029.42,66006249.21,,21
MDCO,麦迪逊医药,0,134.913374,-3.165564,218,39.39,52.42,23.31055046,6.05,33.03678082,16.77267123,20.07791667,17.94,,9.543923944,17173916.93,11508349.54,,18
AIQ,阿莱恩斯保健服务,391.775009,-18.977259,0.04,60,15.86,33.53,16.46246667,5.96,11.1949,14.8285,23.364,6.94,8.92,7.996569397,593202.7667,615443.3333,,5
BTEC,Principal Healthcare Innovators Index ETF,0,0,-1.2,26,37.86,38.0604,29.67052692,22.5,34.49658889,29.18718889,24.7849625,25.5,,4.425079432,152507.6923,21242.92308,,2
REPL,Replimune Group Inc.,0,-18.67975,-3.957382,3,22.14,22.14,18.80666667,14.99,22.14,19.29,14.99,16,,3.59942125,627439,4026203,,0
SIFI,SI Financial Group,27.22566,0.962507,0.507793,168,13.7,16.1,11.3102381,3.87,13.26178571,9.306964286,11.36196429,12.47,,2.730327666,345454.9762,155771.4286,,14
CCCL,中国陶瓷,0,0.067122,-4.051076,92,1.4,62.64,14.69277826,1.36,2.052141935,12.03042581,30.50586667,61.6,,14.88870609,1441604.435,155029.3696,1286575.065,7
EGBN,伊格尔合众银行,15.698592,1.820839,3.458909,239,54.25,67.05,19.51722343,2.533,40.989625,11.517125,5.87438481,2.7934,,18.24235448,1581390.967,91632.29412,,19
HBP,Huttig Building Products,0,2.100905,-0.345024,58,5.02,8.8,4.911851724,2.85,6.297,4.601968421,3.763684211,3.25,,1.485634225,2178733.414,354657.6207,1824075.793,4
CBRL,CB乡村店,15.114905,5.66523,9.999401,252,150.75,176.48,61.40718254,9.25,119.987381,38.66809524,25.56607143,30.38,,47.95663501,6168330.532,13328261.9,,21
BJ,BJ's Wholesale Club Holdings Inc.,20.788667,-3.745057,1.396434,4,30.15,30.15,27.0225,23.65,29.825,24.79,23.65,21.25,8.9,3.280095273,12444842,26544503,,0
INSM,Insmed,0,4.435699,-3.462571,252,20.2,380,28.58895238,2.82,14.98059524,10.25769048,60.52857143,110,,41.74698819,7146385.635,1076892.46,,21
BOTJ,Bank of the James Financial Grou,18.410644,1.33127,0.867433,81,15.61,16.55,10.91788889,4.91,14.83695556,10.85745185,7.059259259,4.95,,3.440982769,65507.78049,34605,,6
CWS,AdvisorShares Trust Focused Equity ETF,71.446809,0,0.47,25,33.99,33.99,29.440856,24.7369,32.10615556,29.3231375,26.5601125,25.16,8.83,2.63018851,31662.38462,101467.25,,2
CCNE,CNB金融,18.492371,1.940246,1.715302,252,30.77,31.01,15.08246429,6.052,19.90904762,13.9935119,11.34483333,7.7,,4.989941886,339952.6349,84384.12698,,21
MTSC,MTS Systems Corporation,17.907809,1.98613,2.934474,252,53.55,75.65,34.87482143,6.13,56.88494048,34.61815476,13.12136905,18.375,,19.29950221,1567777.611,1611537.302,,21
UCFC,United Community Financial Corp,17.137819,1.722369,0.606845,243,10.31,16.5369,6.959273251,0.51,5.833209877,5.539999383,9.504610494,15.0778,,3.777310366,1349213.164,1153617.355,,20
EGLE,伊格尔散货航运,0,0.802624,-0.331021,160,4.98,10892.801,2018.937782,4.17,58.09307407,680.6079151,5355.109426,8576,,2858.822819,2793200.613,78046.325,2715154.288,13
TXRH,德州公路酒吧,30.070708,5.259611,2.222096,168,70.54,70.54,24.13428571,5.59,42.81964286,16.95535714,12.62785714,10.75,,15.31463555,14282781.07,14442838.1,,14
XGTI,XG Technology Inc,0,0.682914,-2.289941,62,0.4291,6252,865.2895205,0.4291,1.317055857,74.45580952,2602.836005,6612,,1534.614476,10256448.39,33827.16129,10222621.23,5
PSCD,PowerShares Exchange-Traded Fund,0,0,0,91,71.15,71.47,45.57731758,23.67,55.66245484,48.57982667,32.1535,26.87,,11.18465828,184899.3043,232197.7778,,7
CIBR,First Trust NASDAQ Cybersecurity ETF,141.149998,0,0.2,39,28.655,28.66,21.09592051,15.73,25.09192308,20.68899231,17.50684615,20,8.655,3.500600784,2602213.9,1174774.316,,3
INNT,Innovate Biopharmaceuticals Inc.,0,37.572151,-0.722302,27,8.96,33,12.52241111,4.88,12.65445556,6.712888889,18.19988889,40,,7.716957756,5522005.571,560873,4961132.571,2
CCS,Century Communities,10.54656,1.096157,2.773416,52,29.65,31.6,22.49076923,14.79,28.56944444,19.31941176,19.22588235,21,8.65,5.088586169,4118755,2055225.192,,4
CLPS,CLPS Inc,62.685686,26.964963,0.220465,5,14.37,15.43,12.346,5.14,14.105,14.19,5.14,5.76,8.61,4.127072813,2941755.667,14429150,,0
LSXMB,Liberty Media Corporation Series B,34.580441,0,1.36,30,47.63,48.99,40.48682333,32.52,45.20002,41.79603,34.46442,39.05,8.58,4.99422433,2230.866667,15921.8,,2
SRDX,SurModics,0,9.104056,-0.173921,247,79.15,79.15,26.23261134,3.625,25.48277108,29.5747561,23.64945122,3.815,,12.77030233,1456700.331,3623697.561,,20
PDFS,PDF Solutions,0,1.581979,-0.142533,207,8.68,25.62,11.61024155,1.07,16.35913043,6.166666667,12.30492754,13.4,,5.548883946,2859568.135,2065696.117,793872.0181,17
OPES,Opes Acquisition Corp.,0,7.379875,-0.011696,7,9.82,9.82,9.741542857,9.68,9.8033,9.70495,9.6855,9.68,,0.060806191,357608,692449.3333,-334841.3333,0
YRD,宜人贷,5.046539,1.454944,3.380535,34,18.4621,43.97,25.57917941,5.95,31.68600833,28.40454545,16.09181818,10,8.4621,11.10315022,11184661.06,12684657.41,,2
WBT, Manitowoc Food Service,24.229801,21.395643,0.887337,31,21.87,23.51,19.45225806,14.74,21.38636364,20.106,16.671,13.51,8.36,2.493309327,17981536.75,15686997.87,,2
MOTS,Motus GI Holdings,0,5.679622,-1.497759,8,6.83,7.19,5.8100375,4.3603,6.66,5.673433333,4.74,5,,1.122416403,1536474,1293630.75,242843.25,0
QGEN,快而精医药,113.054722,3.492986,0.343462,252,38.4,51.6635,19.81168135,4.7665,25.28148333,17.84830595,16.30525476,6.0205,,8.914885838,20101960.2,6386356.714,,21
PGLC,Pershing Gold Corporation,0,1.28892,-0.509026,39,1.32,4.93,3.176538462,1.31,2.113076923,3.357692308,4.058846154,6.15,,0.967674338,1611799.05,2844330.737,-1232531.687,3
YTRA,"Yatra Online, Inc. ",0,0.073236,-0.490234,22,4.89,11.245,8.194318182,4.89,6.22125,9.122857143,9.520714286,10,,1.938607929,4350367,1781629.182,2568737.818,1
PTVCB,Protective Insurance Corp,12.253886,0,1.93,252,23.25,29.03,22.3455873,12.752,24.0002381,23.84785714,19.18866667,15.2,,3.500485829,381717.9206,225507.5397,,21
RMCF,洛矶山巧克力工厂,22.080163,2.940244,0.462406,252,10.4,22.97,8.710063889,1.0049,11.51844524,11.61038929,3.001357143,1.9318,,4.725916167,227874.1746,444638.5079,,21
HCCI,Heritage-Crystal Clean,24.153177,2.243184,0.975027,127,23.6,24.1,14.91992126,7.46,15.70604651,16.9422619,12.0927381,14,,4.005815662,1128875.938,388614.2857,,10
WCIC,WCI Communities Inc,18.038462,1.23303,1.3,59,23.45,25.24,21.18711864,15.15,23.4225,21.408,18.60157895,15.12,8.33,2.795966338,3297646.633,2177531.759,,4
GT,固特异轮胎橡胶公司,21.112045,1.205269,1.116898,69,22.35,36.23,27.00043478,12.495,30.05043478,29.56782609,21.38304348,14.04,8.31,5.7800807,64057972.09,72344179.74,,5
ICBK,"County Bancorp, Inc.",12.607852,1.214715,1.986857,45,24.65,32.66,23.748,18.6,28.22333333,23.602,19.41866667,16.35,8.3,4.300950926,185284.7826,179152.6364,,3
LTXB,LegacyTexas Financial Group Inc,22.075289,2.137183,2.064752,144,46.8,46.8,20.93634118,8.59286,33.29520833,18.374375,11.13944021,10.7143,,10.87836668,4850944.958,2453256.944,,12
FOXA,21世纪福克斯公司,20.812944,4.277284,2.170284,252,45.31,49.69,18.16552579,4.91,28.40136905,13.97297619,12.12223214,6.7325,,9.011036076,305913965.3,86707520.63,,21
DNKN,唐恩都乐,17.299831,-7.31736,4.128942,87,76.06,76.06,46.11114943,24.98,57.1437931,46.95310345,34.23655172,25,,11.46966724,27473615.27,23332062.79,,7
CNDT,Conduent Inc,31.062404,1.307236,0.697306,21,23.1,23.18,17.48285714,14.96,19.96571429,16.34,16.14285714,14.845,8.255,2.300532858,39804369.27,56246830.4,,1
TYPE,蒙泰图像,74.446494,2.623904,0.294171,135,20.4,32.64,18.033,2.47,22.92733333,21.106,10.06566667,12,,7.455159092,3865278.044,2310197.015,,11
ITRI,伊管,0,3.863183,-2.966561,252,65.9,107.42,40.81480159,3.63,47.4577381,59.75071429,15.23595238,24.88,,23.5491839,7774209.556,5624226.19,,21
SNHNL,Senior Housing Properties Trust 6.25% Senior Notes Due 2046,0,0,0,27,26.18,27.12,26.0864037,24.47,25.71476667,26.79777778,25.74666667,26.3374,,0.696677919,276816,653324.2308,,2
ALLK,Allakos Inc.,0,-24.256598,-12.135921,3,39.93,40.77,39.84666667,38.84,39.93,38.84,40.77,27.2,,0.967694855,2058254.5,7725824,,0
FTXO,First Trust Nasdaq Bank ETF,0,0,0,25,29.85,31.6,27.326996,19.85,29.85832222,27.21875,24.5875,19.85,,2.836273453,2211360.923,4953816.417,,2
SCSC,ScanSource,25.967669,1.239577,1.638576,252,40.35,43.65,25.74502976,3.6875,36.45702381,28.54428571,12.23377976,4.3125,,11.42119478,2511337.389,4979103.175,,21
CBTX,CBTX Inc.,27.969102,2.009949,1.333257,11,36.24,37.38,31.44454545,27.61,35.81,28.915,28.99666667,28,8.24,3.65756029,1944869.833,1418803,,0
MSBF,MSB Financial Corp,31.300782,1.567861,0.675702,141,21.1,21.5,10.29499362,4.39,14.91561915,6.602978723,9.366382979,12.5,,4.113918707,90836.83099,59302.85714,,11
CLLS,Cellectis S.A.,0,3.668569,-1.9,43,28.97,42.9,27.89116279,16.86,29.26466667,23.29428571,31.01642857,41.5,,5.433320133,3611996.909,3760881.952,,3
COHR,Coherent,18.222327,3.619777,10.064576,176,191.03,291.96,66.21428977,15.3,124.5841525,42.86745763,30.58741379,26.47,,60.13615494,4155509.602,3271475,,14
HSIC,亨利香恩服务,30.357364,4.264573,2.673157,252,77.89,91.985,28.43547063,2.135,61.60863095,17.09842143,6.599359524,5.9587,,27.01583513,28216994.1,44659028.57,,21
FRBA,First Bank,23.265127,1.443798,0.616803,59,14.4,14.6,9.115677966,5.97,13.3925,7.6465,6.160263158,6.16,8.24,3.375662318,580167.3,169072.8621,,4
CRVL,CorVel Corp,29.31121,6.244595,2.052116,252,59.45,60,20.03313571,3.7367,38.13482143,14.16595238,7.798633333,4.2783,,14.99373336,979117.2302,1800037.46,,21
SMPL,Simply Good Foods Company,20.795503,1.922369,0.86461,25,18.11,18.11,12.6648,10,14.92,12.22375,10.56875,10,8.11,2.2926388,9279164.154,2867118.167,,2
NMIH,NMI Holdings Inc.,24.246405,2.328845,0.919724,59,22.05,22.05,10.8520339,5.05,15.285,7.3285,9.894736842,14,8.05,4.277566493,10536350.53,4682112.621,,4
BEAT,CardioNet,0,7.072856,-0.086508,127,62.4,62.4,14.41141732,1.95,24.99534884,5.547857143,12.43904762,18,,12.67092101,8403339.688,6218295.238,,10
FAAR,First Trust Alternative Absolute Return Strategy ETF,0,0,0,29,28.6602,30,29.2379931,28.51,29.15336,29.30671,29.25567778,29.87,,0.383076142,85658.6,37470.85714,,2
KURA,"Kura Oncology, Inc",0,5.844327,-1.648559,35,20.75,22.6,10.58608857,2.71,18.22916667,8.129166667,4.928463636,8,,6.242820623,6638449.444,1975582.118,,2
BANFP,BancFirst Corporation,0,0.036368,0,176,27.48,29.1,26.3775267,22.72,27.44050339,26.38245763,25.2912069,25.7,,1.263454545,29766.96591,19454.54545,,14
OPESU,Opes Acquisition Corp.,0,0,0,7,10.12,10.12,10.09282857,10.0549,10.11163333,10.095,10.06245,10.03,,0.024152344,243547,1353115.333,,0
APEN,"Apollo Endosurgery, Inc.",0,2.978787,-1.602766,72,7.61,518.98,151.6682014,4.12,8.077833333,76.6209375,370.3058333,469.7,,170.5901585,1146651.833,33011.47222,1113640.361,6
LCNB,LCNB Corporation,15.867017,1.180537,1.187999,85,18,23.85,17.04894118,12.75,19.60586207,15.92767857,15.52196429,12.75,,2.806768297,284874.2093,151028.5714,,7
FWONK,Liberty Media Corporation Series C,136.18518,0,0.27,21,37.05,39.3,34.70238095,28.74,34.04857143,36.67285714,33.38571429,29.04,8.01,3.04762843,27984069.91,25425335.4,,1
SRLP,Sprague Resources LP,22.392515,2.981542,1.107513,60,25.5,28.2,23.85114,17.23,25.50792,23.408,22.6375,17.5,8,2.819996732,690679.2667,990734.4667,,5
DCOM,迪募社区银行,12.421217,1.125856,1.489387,252,18,22.05,13.80381389,4.3881,16.76333333,13.85142857,10.79667976,6.0385,,4.179267795,2747939.627,3695572.595,,21
SUNS,Solar Senior Capital Ltd,11.483606,0.987956,1.447716,92,16.77,19.58,16.80755435,13.98,16.74241935,16.16,17.544,19.69,,1.308886259,893967.6957,876415.2174,,7
RNMC,First Trust Mid Cap US Equity Select ETF,0,0,0,16,22.8903,23,21.38536875,19.6096,22.19996667,21.66598,20.12724,19.8,,1.03291209,29819.5,59590.125,,1
USLB,PowerShares Exchange Traded FD TST,49.425223,0,0.67,35,33.21,33.21,28.53207143,23.39,31.50225,28.28336667,25.56319091,25.227,7.983,2.671501209,157805.8889,470884.2941,,2
