code,name,pe,pb,eps,net_radio2018-06,income_radio2018-06,net_radio2018-03,income_radio2018-03,count,grow_3,grow_6,grow_radio_3,grow_radio_6,month_3_rs,month_6_rs,price,vol_radio,volume_3,volume_6,year
SPNS,Sapiens International Corp,53.477377000000004,2.9163069999999998,0.22252399999999997,159.37%,4.51%,226.14%,25.58%,252,0.8416666666666668,0.4799999999999998,0.08438181754333089,0.054434211203700546,0.5057174747133603,0.3942200566358378,11.685,0.060469629860446586,397048.6666666667,374408.3333333333,21
MANT,美泰科技,21.068593,1.924225,3.161578,27.98%,18.70%,33.53%,13.11%,200,3.8133333333333304,-0.6966666666666654,0.06965227467984052,-0.010802328199342326,0.19774312963170795,0.1636133666063438,64.22,-0.41628286948785037,2593219.0,4442595.333333333,16
WERN,沃纳企业公司,11.720183,2.1844740000000002,3.1782779999999997,64.80%,19.18%,73.59%,12.26%,252,-0.20000000000000048,0.08333333333333333,-0.005378848598913859,0.007135302896830602,0.21795470889297028,0.11331418816155936,36.75,-0.16928969737207494,18651422.0,22452378.333333332,21
COHR,Coherent,17.212846,3.4192489999999998,10.064575999999999,9.58%,3.93%,56.06%,13.78%,176,6.623333333333335,-10.660000000000005,0.04317138839370446,-0.059718763287966804,0.23033543603194206,0.17202110174729857,180.53,-0.3770149463120577,7306382.0,11728021.333333334,14
COLM,哥伦比亚户外,46.817948,3.8695160000000004,1.937932,192.74%,20.74%,25.32%,11.68%,247,0.23666666666667405,5.150000000000001,0.0033782653441629304,0.0638371862867609,0.44260516335818756,0.1692660263490076,91.95,-0.12363492546305264,5949568.0,6788915.0,20
LRCX,拉姆研究,10.835132000000002,3.867608,14.728017000000001,93.98%,33.31%,35.51%,34.27%,252,-4.876666666666675,-9.846666666666664,-0.024871075018704402,-0.04701539133407239,0.21714277172124197,0.14962818935565336,153.25,-0.33452355410273804,50107604.666666664,75295835.0,21
OTEX,Open Text Corporation,42.149782,2.758444,0.910325,33.80%,13.67%,170.82%,15.64%,252,1.013333333333333,0.14666666666666592,0.029041800180626447,0.0042751673035285485,0.5287855378292056,0.20113644928138932,38.0,-0.08603245337729146,8967646.666666666,9811778.0,21
AMZN,亚马逊,150.51408700000002,27.206884999999996,12.969351,1186.29%,39.34%,125.00%,42.92%,252,72.50333333333333,92.56000000000002,0.044075239465651,0.06186011590126578,0.36169110731355353,0.22841530333854065,1920.56,-0.11175350183268772,85122701.33333333,95832296.0,21
CASS,卡斯信息系统,31.00524,3.8204919999999998,2.271229,15.29%,7.96%,28.30%,11.37%,252,-0.406666666666671,3.1366666666666654,-0.004503046111087682,0.05094442667643564,0.3347337421439524,0.2267482875822843,66.8,-0.5515689579919159,420209.3333333333,937065.6666666666,21
SPAR,Spartan Motors,22.211309,2.990313,0.682085,232.74%,8.39%,481.62%,3.57%,252,0.033333333333333215,-0.6999999999999998,0.002845288401213139,-0.04007910868777281,0.7376786256905716,0.4495633530674432,15.25,-0.4204460016763115,3277075.3333333335,5654478.0,21
BRKS,布鲁克自动化,20.512058,3.581206,1.7604279999999999,30.29%,22.98%,378.54%,22.40%,252,1.0033333333333314,1.7666666666666646,0.04439639619710025,0.07500908360354057,0.38129759680395353,0.27003070213101493,35.43,0.059437002262431635,14553787.333333334,13737284.333333334,21
EXEL,伊克力西斯,16.987864000000002,7.133916999999999,1.091956,395.55%,87.97%,593.75%,164.22%,222,-1.3966666666666672,-0.163333333333334,-0.0711861410077858,-0.006972769275314241,0.5647183017011478,0.44179236228941754,16.63,-0.3292884749113024,65454524.0,97589681.33333333,18
NICE,耐斯系统,43.130287,3.696735,2.688598,67.48%,9.79%,36.07%,9.76%,252,3.3916666666666657,2.8633333333333346,0.03269217942899468,0.030892988563165278,0.5111615163937556,0.14124281508082856,113.695,-0.3177763969170947,3266630.3333333335,4788210.666666667,21
GENC,范科工业,18.58396,1.321948,0.678004,3.63%,1.58%,10.22%,36.86%,197,-1.1333333333333335,-0.05000000000000071,-0.07396219135802472,-0.0029348212479748427,0.7096902380626605,0.29337462154882493,12.7,-0.2571234393084549,314075.3333333333,422782.6666666667,16
BKNG,Booking Holdings,33.510309,8.620828999999999,56.75298299999999,35.71%,16.95%,33.27%,21.03%,235,-37.820000000000014,-15.936666666666573,-0.018940586900614703,-0.006880987860700884,0.36278893554950803,0.2897145156872895,1900.2,0.032228909494302696,7930303.666666667,7682698.666666667,19
CNMD,CONMED Corporation,31.010821999999997,3.523646,2.620053,42.03%,7.95%,334.48%,8.31%,252,2.053333333333337,3.1333333333333377,0.028004311136061194,0.04714766081878747,0.17539633425123546,0.14124778013184816,79.81,-0.2988799236414726,2759971.3333333335,3936517.3333333335,21
ALGT,Allegiant Travel Company,10.239510000000001,3.322653,12.944956,1.99%,9.79%,30.32%,12.32%,142,-2.116666666666679,-11.583333333333343,-0.011640149490167173,-0.07190726082860989,0.28023671646664466,0.2278950761863904,130.45,-0.12117894697132875,3851640.6666666665,4382736.0,11
AIRT,Air T,16.445979,2.432426,2.024811,166.86%,27.34%,387.42%,22.06%,252,-0.5333333333333314,2.9015,-0.01606710243634862,0.1074773433214733,0.9612317391762223,0.2606192018095067,32.95,0.43638333961552944,50809.666666666664,35373.333333333336,21
BMCH,"BMC Stock Holdings, Inc.",16.073247,1.834984,1.3687340000000001,129.63%,12.65%,310.23%,10.10%,28,0.31666666666666643,0.36666666666666714,0.01594470633829068,0.025553875416664106,0.12916614303002827,0.08263651918423774,21.45,-0.2919847185121483,6482589.333333333,9156002.0,2
EZPW,艾茨克普,11.453928,0.783583,0.9298120000000001,174.39%,9.15%,45.61%,7.09%,252,-0.4046000000000009,-0.35000000000000026,-0.03479286362142888,-0.025991934323223432,0.535675932539235,0.3747002412719023,10.7862,-0.41985472504178156,8259503.333333333,14236957.0,21
EXPO,毅博科技咨询,56.247214,8.635756,0.940491,33.60%,6.96%,22.71%,12.70%,252,1.6000000000000014,2.941666666666665,0.032259484756767653,0.07207642062875642,0.5577526790909947,0.16053676997548996,52.95,-0.33946416354743597,3157848.3333333335,4780737.333333333,21
MSFT,微软,50.281659000000005,10.031405,2.1520770000000002,9.96%,17.50%,35.33%,15.54%,252,5.176666666666667,2.6700666666666706,0.05067973720481151,0.029122496183824453,0.1943927365327194,0.11580248828370687,112.1,-0.2759669260832871,429235692.0,592839895.6666666,21
TSCO,Tractor Supply Company,23.133316,7.750739,3.867582,29.03%,9.69%,18.44%,7.60%,252,4.3700000000000045,4.560000000000002,0.055718734823227145,0.06876746578179956,0.23334006253062253,0.15478193748011412,89.5,-0.3102850002652636,27535188.0,39922559.333333336,21
TRS,瑞奇包装系统,26.348206,2.387497,1.1575739999999999,31.99%,5.41%,247.93%,8.64%,110,0.6500000000000009,1.0666666666666675,0.021876290306319223,0.039333549399955446,0.4445520784045501,0.23766260791137375,31.1,-0.3509167801492676,1761500.0,2713827.6666666665,9
SKYW,西空航空,6.67046,1.7059419999999998,9.137300999999999,50.28%,1.77%,56.28%,4.85%,252,2.866666666666665,-0.8500000000000014,0.057892225427684796,-0.013952457604807183,0.3170575604841056,0.20967469226037946,60.15,-0.27495868025608117,3388343.3333333335,4673310.666666667,21
BIIB,生化基因,24.026418,5.580346,14.136522,6.05%,4.46%,56.68%,6.02%,252,15.330000000000004,5.3166666666666815,0.05330313245159949,0.019748718590412592,0.27198958986259325,0.1751830773126589,338.12,-0.13413417124661126,30671861.666666668,35423342.333333336,21
GRBK,Green Brick Partners,18.745091,1.144082,0.533473,101.41%,47.70%,60.94%,29.12%,48,0.08333333333333275,-0.36666666666666653,0.009551322511558095,-0.024322857122313513,0.20309362544696127,0.14898693380438624,10.0,-0.15494435739195542,3304659.6666666665,3910582.3333333335,4
MGRC,McGrath RentCorp,8.113131,2.505162,6.862949,38.84%,6.39%,81.44%,10.59%,252,-2.858933333333333,3.2166666666666686,-0.047624281252518635,0.05873889770337346,0.21144162692824783,0.16644497986270912,53.5832,-0.4462449704766362,1945299.3333333333,3512924.0,21
FOXF,Fox Factory Holding Corp.,43.762578999999995,9.437192999999999,1.553839,37.06%,29.81%,103.74%,22.07%,62,8.316666666666663,3.4833333333333343,0.16043846794555808,0.0927602859945998,0.22549209700975256,0.14587244207250946,71.1,-0.08238284236913762,4483382.0,4885896.0,5
SHOO,史蒂夫·马登,23.636333999999998,3.9811370000000004,2.3713490000000004,11.79%,5.77%,42.28%,6.18%,252,1.7000000000000004,3.0833333333333335,0.03193628388433547,0.06724354115230737,0.41097290879000997,0.23453201808905086,57.6,-0.27602582782524604,6556512.333333333,9056279.333333334,21
BOOM,Dynamic Materials Corporation,0.0,4.816096,-0.42317200000000005,3271.43%,71.47%,229.80%,72.77%,252,-2.0916666666666663,6.116666666666666,-0.04864400503423875,0.20588555817600732,1.548061399109283,0.6259315593819752,38.725,-0.27839862588822306,2335543.6666666665,3236612.0,21
HSTM,健康流科技,30.366408000000003,3.21998,1.024158,12.31%,7.72%,1755.72%,5.56%,222,1.1666666666666654,0.33666666666666717,0.04318419214192764,0.014937619163168653,0.33244457970826385,0.2731086698187239,30.74,-0.19855631618133682,2583427.0,3223466.6666666665,18
SLGN,Silgan Holdings,9.399484,3.5904190000000002,2.893776,98.18%,3.65%,96.80%,25.69%,252,0.6833333333333336,-0.2716666666666671,0.025348567118034293,-0.009819516838649773,0.1906289924560127,0.11716360488373327,28.74,-0.22379854399515645,7505068.333333333,9668969.666666666,21
ROCK,Gibraltar Industries,18.480736,2.535464,2.424146,78.85%,7.43%,109.01%,4.23%,252,3.4500000000000006,1.1833333333333347,0.08629149568765536,0.03672488109348529,0.4726237342134622,0.3201804456617391,47.65,-0.37588062088667423,2921961.3333333335,4681734.666666667,21
FISV,费哲金融服务,22.883819,11.355008,3.4924239999999998,13.57%,2.45%,71.26%,3.30%,252,2.169999999999997,0.8833333333333305,0.02890550163851073,0.0123195936555753,0.1106572193922578,0.08802871959848957,79.97,-0.21017885484592783,28626343.666666668,36244083.666666664,21
KLIC,库力索法半导体,25.230203,1.9044029999999998,0.9853270000000001,73.10%,10.22%,11.15%,11.10%,252,0.5366666666666653,-0.34333333333333255,0.023621123963073764,-0.012253133762972462,0.6524498219485442,0.3781358040915559,25.24,-0.2509765477625572,11994719.0,16013809.666666666,21
PRMW,Primo Water Corporation,65.165361,4.849665,0.29831799999999997,118.22%,1.32%,110.20%,21.28%,95,0.42000000000000054,1.929999999999999,0.026701310738558148,0.14954944067070952,0.4484351636552564,0.3071361362436755,18.77,-0.36055661986603976,5147010.0,8049203.666666667,7
QNST,QuinStreet,41.172169,4.490133,0.34319299999999997,496.27%,36.78%,1129.19%,48.89%,104,0.2600000000000004,-0.03999999999999974,0.026529205826554086,0.007224575028011752,0.39195174950235856,0.31932726311644405,13.33,-0.275913074611456,11273586.666666666,15569383.0,8
CRAI,CRA国际,36.055824,2.3127169999999997,1.557862,75.04%,12.80%,72.65%,12.82%,246,0.9266666666666646,-0.6099999999999994,0.019916928814266915,-0.009727260493124654,0.22359856141201648,0.1814432313706961,53.49,-0.39259172004327053,749414.6666666666,1233790.6666666667,20
SIRI,Sirius XM Holdings Inc.,38.356074,-22.856925,0.181979,44.65%,6.29%,39.78%,6.26%,252,0.113333333333333,0.1733333333333332,0.01669301939390746,0.029568868313940653,0.7278209244393423,0.4231194026988894,7.03,-0.34699147560642246,241534995.0,369880309.3333333,21
ALGN,阿莱技术公司,100.209911,24.290559,3.6786779999999997,53.38%,37.53%,38.10%,40.79%,213,16.393333333333356,30.18666666666665,0.04745967741009833,0.1181168893226809,0.5711855355243703,0.3550586965929299,384.23,-0.39821214130244426,13085410.0,21744224.0,17
LMAT,勒梅特微管医疗,30.674038,5.634988,1.139726,88.92%,4.92%,19.70%,7.68%,144,0.28666666666666646,-0.9300000000000009,0.01094914707518378,-0.022438126021418564,0.22235128523800277,0.1934650184558319,34.37,-0.4533099867758113,2095394.6666666667,3832875.3333333335,12
ROLL,RBC轴承,39.828396999999995,4.251132,3.8603110000000003,25.94%,7.38%,23.59%,12.28%,158,8.534999999999991,1.4399999999999977,0.06406067198126698,0.013087992551869945,0.21612229549046416,0.15858998910267863,153.015,-0.2440252050080715,1307016.6666666667,1728915.6666666667,13
FARO,法如科技,0.0,3.063828,-0.465955,133.24%,18.82%,131.14%,13.82%,252,3.6583333333333337,-1.4833333333333343,0.06878576551653474,-0.022385322602215568,0.4067396090815227,0.2686486964774632,64.175,-0.4237002624708206,1333797.3333333333,2314416.0,21
SEIC,SEI Investments Company,19.998447,6.071422,3.079739,32.59%,8.73%,57.59%,12.67%,252,0.2066666666666658,-4.253333333333335,0.003952030450063125,-0.05804321065337672,0.17605503874193643,0.10751445920739588,62.7,-0.3256257751087494,10617910.0,15744833.666666666,21
REGN,Regeneron Pharmaceuticals,26.696658000000003,5.939407,14.811404000000001,42.21%,10.35%,92.01%,12.89%,252,13.927099999999996,0.7566666666666796,0.04114891800167999,0.007674510101725536,0.5193178403182104,0.3339300693446525,384.2113,-0.3014526659566148,13266619.333333334,18991725.666666668,21
USAP,通用不锈钢和合金制品公司,15.764429000000002,1.102514,1.8611520000000001,228.83%,25.59%,274.32%,30.41%,252,1.5233333333333323,-1.4814999999999994,0.06975181660131104,-0.05171996678045582,0.3520250751927166,0.3049793783763746,27.74,-0.22818309932017608,1402421.6666666667,1817039.3333333333,21
SAMG,Silvercrest Asset Management Gro,19.433146,2.3946009999999998,0.77445,16.47%,11.25%,22.73%,10.84%,64,-0.38330000000000136,0.29999999999999954,-0.022263247454342897,0.019391331411791737,0.1430978185458523,0.09764552100090325,15.0001,-0.003387466266346179,306268.3333333333,307309.3333333333,5
ADUS,爱德斯,48.70903,4.533835,1.3734620000000002,59.15%,29.23%,14.06%,9.84%,108,4.661833333333337,2.633333333333335,0.07885457997454047,0.05186657450982852,0.4713403298066647,0.36207862250906864,70.9855,0.6780585657947417,2792877.3333333335,1664350.3333333333,9
DZSI,"DASAN Zhone Solutions, Inc.",23.521213,2.2950169999999996,0.43620200000000003,255.03%,27.22%,104.03%,14.18%,25,0.5618999999999996,-0.5100000000000003,0.059831213032518364,-0.04682634865312877,0.19931705525480373,0.15618550732121658,11.355,-0.4108895644344238,300308.6666666667,509766.3333333333,2
USAK,USA Truck,9.245178999999998,2.488362,2.338516,189.39%,26.10%,121.17%,22.96%,252,-0.3133333333333326,-0.6766666666666671,-0.01277363628708495,-0.02699377472492917,0.5003792460153421,0.35218955741127195,22.43,-0.39276398529728523,1456546.6666666667,2398650.0,21
IDXX,IDEXX实验室,68.935722,-510.677616,3.5184949999999997,27.25%,14.11%,29.57%,16.37%,252,9.419999999999987,8.27333333333334,0.0438216929985823,0.04172018425640487,0.18623962754308895,0.149507801042215,244.42,-0.1648735195542196,7918949.333333333,9482335.333333334,21
MNRO,Monro Muffler Brake,34.698415000000004,3.596479,2.030352,17.40%,6.22%,80.96%,13.32%,252,4.033333333333336,1.5666666666666675,0.06812367856286376,0.02869997833724312,0.21376780032592993,0.16993174695620894,69.4,-0.3021353255038571,4900888.666666667,7022692.0,21
CSGP,科斯塔,86.887333,5.541352,4.99578,97.60%,25.24%,136.02%,20.82%,243,3.068333333333347,16.116666666666692,0.008495433302644491,0.04285157018583912,0.17123311416701634,0.14794278695852486,419.365,-0.3353241349773418,3042848.6666666665,4577943.666666667,20
ISRG,直觉外科公司,75.95161800000001,10.441193,7.08293,14.17%,19.83%,58.90%,24.71%,220,26.709999999999997,21.616666666666674,0.05386916334201212,0.04998584761048721,0.4770125026475544,0.3408548273895599,557.85,-0.34337802476945833,11930934.666666666,18170172.666666668,18
FLOW,弗洛国际,24.153168,2.129995,1.9541950000000001,129.41%,6.67%,309.59%,13.18%,37,3.145000000000001,-1.8533333333333317,0.06851201710091269,-0.03875472606850713,0.2176226544903137,0.11058747660310213,53.345,-0.4028675636629325,3145931.3333333335,5268398.0,3
CCMP,卡伯特微电子,31.12508,4.271958000000001,3.460232,76.39%,17.57%,62.68%,19.96%,222,-0.17999999999999736,-0.22999999999999451,0.002283430743442024,0.0012934906988485058,0.20603951569293932,0.1703553843065555,105.37,0.19781276170190804,3597245.3333333335,3003178.3333333335,18
BLDR,Builders FirstSource,23.798838,3.96777,0.670621,49.36%,13.38%,507.54%,10.92%,160,-0.6033666666666667,-0.5499999999999995,-0.032010186361121455,-0.025792288902917872,0.7175820231118112,0.3451948208282672,16.1799,-0.08029126515966038,20818911.666666668,22636418.333333332,13
CHRW,罗宾逊物流,23.533976000000003,8.800943,4.097905,43.30%,15.26%,16.56%,14.94%,252,4.030000000000001,-3.500000000000005,0.04656033618002748,-0.0386638654757014,0.22151885189581777,0.13128575678387788,97.1,-0.37306908211892276,19205716.666666668,30634502.333333332,21
UBNT,厄比奎蒂,35.237572,21.00657,2.543308,15.50%,18.00%,59.45%,14.68%,84,3.9566666666666683,5.476666666666669,0.045957248110150915,0.07587064389149344,0.4321172123847153,0.1937867810832827,95.93,-0.21148317123124746,6795188.333333333,8617683.333333334,7
ANIP,"ANI Pharmaceuticals, Inc.",9733.056118999999,3.5847599999999997,0.005769,3.58%,5.59%,95.31%,26.91%,221,-4.189999999999998,2.903333333333331,-0.06572030056372781,0.04793992372088083,0.6274904474318354,0.4385744204890871,53.94,0.14937544471845057,1886686.0,1641488.0,18
DMLP,多尔切斯特,12.685851,6.702071000000001,1.462259,93.68%,68.17%,28.64%,28.70%,188,-0.5916666666666662,1.5125000000000017,-0.027763238895926013,0.0878611326592903,0.26796806194749834,0.17640721533516102,18.85,-0.35039539007057147,1095598.6666666667,1686562.3333333333,15
AAPL,苹果,19.87048,9.298589,11.137124,32.14%,17.30%,25.32%,15.58%,252,8.0508,4.986200000000006,0.04365320357066429,0.030671785847800132,0.2786531848257947,0.19575232999696543,217.5924,-0.16995146696697278,502233379.0,605065076.3333334,21
EGLE,伊格尔散货航运,0.0,0.755959,-0.331021,158.60%,39.73%,100.48%,73.09%,160,0.11833333333333347,0.15999999999999984,0.027724803727406183,0.034708797446991284,6.297078743157677,0.6102060190818234,5.655,-0.38888734077904996,4875864.0,7978666.333333333,13
NSIT,Insight Enterprises,15.803564999999999,2.093203,3.3853120000000003,27.88%,9.08%,136.46%,19.31%,252,1.6366666666666678,4.636666666666666,0.0330164494307048,0.12676635738790074,0.6032052646329964,0.28702903774483274,54.13,-0.36014074662262685,3876496.0,6058357.333333333,21
BCOR,Blucora,22.929261,2.606111,1.519892,910.26%,13.43%,48.30%,12.93%,76,-0.8166666666666652,4.050000000000002,-0.02210744676066689,0.16229910522152227,0.4081057710293548,0.2031474091981653,36.5,-0.41405669355168845,5796951.0,9893365.0,6
EXPD,康捷国际物流,23.500289000000002,6.901455,3.1833650000000002,29.60%,17.06%,45.56%,20.01%,252,0.47499999999999903,3.099999999999999,0.007223716181025362,0.05001396724639779,0.16267019520649675,0.14714433313431483,74.205,-0.24104696962908634,21129546.333333332,27840387.333333332,21
MPWR,Monolithic Power Systems,75.687409,10.811255000000001,1.955279,61.22%,24.57%,50.97%,28.68%,167,0.47666666666666896,4.956666666666659,0.00822904411920983,0.04146849852257361,0.4164293638993943,0.2353433284983363,133.25,-0.20850714206738688,6189773.333333333,7820378.0,13
RICK,Rick’s Cabaret International,13.527417999999999,1.9175689999999999,2.279075,40.44%,13.20%,24.97%,18.84%,252,-0.3216666666666666,1.0466666666666657,-0.009552138092982212,0.039961588288436316,0.48067390953813804,0.3602591162924678,30.185,-0.3586030442902071,583761.6666666666,910141.0,21
ICHR,Ichor Holdings Ltd.,7.179086,2.212428,3.064457,184.38%,55.87%,30.23%,73.52%,22,0.285999999999999,-0.9899999999999997,0.02463284925105286,-0.034975510582977966,0.2915639470422409,0.1755998758264304,21.938,-0.1745887658054568,17812674.333333332,21580363.333333332,1
SIFY,Sify Technologies Limited,14.495173000000001,0.027587,0.11383099999999999,15.52%,2.81%,41.63%,15.80%,228,-0.05966666666666683,-0.08333333333333333,-0.030126767594467946,-0.04006811901548743,1.0853182079845272,0.5231486708357906,1.63,-0.40919841588207867,1128655.3333333333,1910379.6666666667,19
EGOV,NIC Inc,19.048087,5.606301,0.8557290000000001,33.22%,8.41%,10.89%,4.27%,231,-0.2833333333333338,0.48333333333333367,-0.01571677789484638,0.03638487437211474,0.26580715396556687,0.2377820698396542,14.6,-0.3802250434262681,7014039.666666667,11317075.0,19
NSSC,NAPCO Security Technologies,37.826592,4.542516,0.407121,14.74%,6.14%,92.12%,6.69%,252,-0.19999999999999987,1.0666666666666664,-0.011160015709335605,0.09353945818001225,0.49374448816701366,0.3213146535085074,14.05,0.7287216896883356,1308587.0,756968.0,21
ERI,Eldorado Resorts Inc,18.062332,3.518794,2.51075,179.66%,21.51%,2106.88%,119.92%,49,3.1666666666666643,1.9333333333333325,0.07649980787410234,0.0672943948746884,0.2740204543598776,0.1670151547471249,48.6,0.2763203527396004,21348786.333333332,16726824.333333334,4
SBLK,Star Bulk Carriers Corp,20.387065,0.953625,0.59008,204.37%,68.70%,162.07%,86.63%,130,-0.0266666666666661,0.4499999999999999,-0.0013436544775828872,0.03866018438587642,0.5738785140783799,0.45135923171702824,12.57,-0.25135296280273395,6299026.333333333,8413880.0,10
ENTA,Enanta Pharmaceuticals Inc.,20.777067000000002,4.720071,4.231107,340.78%,662.38%,332.84%,391.67%,67,-8.24,11.840000000000003,-0.07475594567160497,0.13050739222042002,0.36770639742426897,0.23660325973959975,90.95,0.04504498538260195,4734043.333333333,4529990.0,5
CRVL,CorVel Corp,28.799543,6.135587,2.052116,34.22%,9.29%,12.16%,7.46%,252,2.06666666666667,1.099999999999999,0.03729242201989678,0.02201110789136089,0.277911074502915,0.21036903597318238,59.85,-0.27398032953588514,487397.3333333333,671328.0,21
EML,Eastern Company ,21.572502,1.964232,1.3443040000000002,122.21%,4.85%,104.34%,64.93%,82,0.39999999999999974,-0.18333333333333357,0.014463472282584077,-0.004470669308295292,0.21421729685108146,0.11966721014207223,29.2,-0.018675829280981902,232004.33333333334,236419.66666666666,6
SHPG,Shire plc,10.434823,1.369322,15.936063,156.14%,4.64%,46.83%,5.41%,247,3.6166666666666742,8.076666666666673,0.02120368028754825,0.05228114991455646,0.2659208143325249,0.1324141168432271,177.91,-0.548162020321953,13645944.666666666,30200968.666666668,20
ALTR,Altair Engineering Inc.,0.0,14.015842000000001,-1.622536,120.88%,17.17%,279.16%,19.12%,11,1.5333333333333339,0.9299999999999997,0.0490092529463007,0.03638123618231332,0.20024008218153577,0.0454729096502171,38.67,-0.36447597437657153,5890451.666666667,9268653.0,0
XLNX,赛灵思,35.565286,8.420860000000001,2.170656,20.86%,13.53%,7.97%,10.40%,252,4.676666666666662,-2.3933333333333358,0.06894595081771876,-0.031716526260713314,0.14807768097089044,0.12612750476232584,78.0,-0.3206062993260644,37638878.666666664,55400688.333333336,21
ORBK,奥宝科技,18.537468,3.0207580000000003,3.29333,45.26%,26.99%,102.29%,33.52%,252,-0.22000000000000597,-0.043333333333331815,-0.002831863711072004,0.0018468239444116713,0.33586047078135534,0.20033449368861134,60.93,-0.4852565460207148,5200280.333333333,10102664.333333334,21
KFRC,K力,25.040384,6.891062,1.673297,46.02%,5.38%,55.46%,3.68%,252,1.2166666666666661,2.7833333333333328,0.03858754027926959,0.1008997049468444,0.34243835594350935,0.23322243284829122,38.1,-0.25681579023715834,3654610.3333333335,4917502.666666667,21
IRBT,iRobot Corp.,50.006624,6.186151000000001,2.067526,32.49%,23.57%,24.71%,28.85%,155,13.680000000000001,3.903333333333331,0.17097679219901527,0.06459426363387037,0.38736164442041265,0.23971451888032388,113.55,-0.01675103605648214,17470461.0,17768095.0,12
OPRA,Opera,222.544086,2.084204,0.051091000000000004,390.51%,50.35%,4039.88%,54.84%,3,13.680000000000001,3.903333333333331,0.17097679219901527,0.06459426363387037,0.38736164442041265,0.23971451888032388,10.21,-0.01675103605648214,17470461.0,17768095.0,0
NANO,耐诺,19.354085,3.472921,2.070364,113.26%,37.53%,206.07%,38.77%,252,-0.6166666666666671,2.7099999999999973,-0.006614835331232791,0.15008289998329302,0.6627342516330468,0.39929438206381623,35.9,0.049991837131900675,7451979.666666667,7097178.666666667,21
IART,英特格拉生命科学,68.986231,3.904783,0.892207,4.99%,29.78%,71.91%,38.06%,252,0.08000000000000067,2.903333333333336,0.0022514448191870264,0.05111702487345531,0.14949334654679503,0.12082319661396794,63.22,-0.31365965802587203,13817745.333333334,20132497.666666668,21
LECO,林肯电气控股,23.070004,6.322035,3.964022,12.27%,26.03%,8.90%,30.44%,252,3.3899999999999957,-0.9733333333333292,0.038157051150934915,-0.00877323921559632,0.21676051054530668,0.1374015491594873,96.39,-0.16181882350562227,7129554.0,8505982.0,21
CLUB,Town Sports International Holdin,23.287132,-3.111286,0.35641999999999996,246.59%,12.34%,138.47%,8.11%,148,-2.0416666666666665,2.333333333333334,-0.15982511650882064,0.24380966271013618,0.8072852337621496,0.3384551037158552,8.575,-0.35273508176741436,3287735.3333333335,5079427.666666667,12
IDSA,美国工业服务,54.578816,1.572848,0.043057,311.41%,22.42%,113.28%,12.65%,252,0.10296666666666665,-0.13426666666666684,0.049763804286533105,-0.05681073428278117,2.9457140977041494,0.5662361967946495,2.3004,0.6408369307980818,448127.3333333333,273109.0,21
AMED,阿米斯医疗,57.77474,9.516784,2.110784,640.58%,9.78%,79.75%,9.49%,252,7.49333333333333,8.129999999999997,0.08149725322154408,0.11962954991939138,0.34406694311656855,0.3027177974197967,118.57,0.20813970480963032,6547632.333333333,5419598.666666667,21
LKQ,LKQ Corporation,18.547685,2.2429959999999998,1.7942939999999998,4.61%,23.28%,12.10%,16.13%,180,0.3166666666666676,-2.016666666666667,0.010755926037326965,-0.051806004985824744,0.2628631919120468,0.18215687773794842,32.57,-0.27843775796888925,40230023.333333336,55754058.333333336,15
HEES,HE设备服务,9.337441,5.093967,3.506314,110.28%,24.70%,75.84%,14.76%,153,-0.31333333333333496,-0.36666666666666475,-0.007699907366677442,-0.0034505076396102266,0.36116833423548433,0.2690210935912632,36.35,-0.3851929500378069,3980610.6666666665,6474569.0,12
MLNX,迈勒罗斯科技,71.007274,3.4515620000000005,1.066088,306.81%,26.66%,409.07%,33.05%,140,-1.9666666666666732,3.9166666666666665,-0.02253737495938417,0.05270211061273556,0.3671048144982798,0.21407715145902384,77.6,-0.27972870646223585,7808461.333333333,10841000.333333334,11
CENT,Central Garden & Pet Company,17.329774,2.800217,2.30355,26.29%,14.51%,29.84%,7.57%,252,-1.3999999999999961,0.1266666666666675,-0.03280877490532529,0.007854988488175304,0.4550678086723095,0.3025863277227005,39.09,-0.1303504580271467,2238993.3333333335,2574592.6666666665,21
CAMT,康特科技,14.046261999999999,3.6120099999999997,0.628637,211.71%,34.30%,7.12%,28.98%,219,0.27333333333333343,0.22666666666666688,0.05172438235324254,0.03928702324651298,0.9317925652050686,0.40601022682873017,8.22,0.5938947305922828,4080486.3333333335,2560072.6666666665,18
LASR,nLIGHT,0.0,5.527778,-5.165334,1721.25%,49.16%,340.40%,42.09%,6,-2.2349999999999994,0.22666666666666688,-0.07329854783688797,0.03928702324651298,0.12102709876925438,0.40601022682873017,24.935,1.4586470071552657,6294315.0,2560072.6666666665,0
AXTI,AXT Inc,19.703316,1.531426,0.370496,153.11%,15.13%,650.59%,18.45%,245,0.09166666666666679,-0.06666666666666672,0.014775721354668736,0.0075499921272240604,0.39562259408540607,0.34296431061532573,7.225,0.06160567314806952,8947569.666666666,8428336.333333334,20
HNNA,Hennessy Advisors Inc,5.292873,1.5854700000000002,2.609169,6.52%,2.95%,25.55%,5.82%,54,-0.8666666666666671,-0.776666666666665,-0.051685748567990464,-0.040332426958551444,0.21601713688324728,0.12911126359093372,14.92,-0.19488693913523897,163214.66666666666,202722.66666666666,4
